PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Boato, A; Battisti, A				Boato, A; Battisti, A			High genetic variability despite haplodiploidy in primitive sawflies of the genus Cephalcia (Hymenoptera, Pamphiliidae)	EXPERIENTIA			English	Article						Hymenoptera; Symphyta; haplodiploidy; heterozygosity; allozymes	POPULATION-GENETICS; HETEROZYGOSITY; SELECTION; INSECTS; NEODIPRION; DIVERSITY; DISTANCE; NUMBER	Hymenoptera are haplodiploid and usually display very low genetic variation. Most data concern social or parasitic Apocrita, while the little information available for the primitive phytophagous species of the suborder Symphyta is contradictory. The present study is related tea seven species of the genus Cephalcia, living in coniferous forests of Northern Eurasia and sharing spruce (Picea sp. pi.) as host plant. individuals from 22 populations belonging to Cephalcia abietis, C. alashanica, C. arvensis, C. erythrogaster, C. fallenii, C. fulva, C. klugii from Europe and China were surveyed for genetic variation at 28 loci using enzyme electrophoresis. Pairs of sibling species were recognized within C. arvensis and C. fallenii, corresponding to different phenological and morphological forms. In the latter case, reproductive isolation in sympatry occurs despite low genetic distance (D = 0.059). Large genetic distances and fixed alternate alleles were observed between Chinese and European populations of C. abietis and C. arvensis. Expected heterozygosity of Cephalcia populations (0.197, SD 0.064) is significantly higher than that of other Symphyta (Tenthredinoidea) (average H-exp 0.059, SD 0.032) (two-tailed Mann-Whitney test, Z = 4.39, p <0.01). These data suggest that haplodiploidy per se does not reduce the genetic variation in most Cephalcia populations. Most of the factors that can lower the potential for genetic diversity in a haplodiploid genetic system are not so effective in Cephalcia populations, which seem to be comparable to diplodiploid insect populations in diversity. In a few isolated populations the large number of fixed loci and the large genetic distances may support the predicted faster rate of fixation, as a consequence of haplodiploidy.	UNIV PADUA, INST AGR ENTOMOL, I-35020 LEGNANO, ITALY				Battisti, Andrea/F-6243-2015	Battisti, Andrea/0000-0002-2497-3064				38	11	12	0	4	BIRKHAUSER VERLAG AG	BASEL	VIADUKSTRASSE 40-44, PO BOX 133, CH-4010 BASEL, SWITZERLAND	0014-4754			EXPERIENTIA	Experientia	JUN	1996	52	6					516	521		10.1007/BF01969720			6	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	UW479	WOS:A1996UW47900003					2022-04-22	
J	Malec, P; Weber, J; Bohmer, R; Fiebig, M; Meinert, D; Rein, C; Reinisch, R; Henrich, M; Polyvas, V; Pollmann, M; von Berg, L; Konig, C; Steidle, JLM				Malec, Pawel; Weber, Justus; Boehmer, Robin; Fiebig, Marc; Meinert, Denise; Rein, Carolin; Reinisch, Ronja; Henrich, Maik; Polyvas, Viktoria; Pollmann, Marie; von Berg, Lea; Koenig, Christian; Steidle, Johannes L. M.			The emergence of ecotypes in a parasitoid wasp: a case of incipient sympatric speciation in Hymenoptera?	BMC ECOLOGY AND EVOLUTION			English	Article						Reproductive barriers; Sympatric speciation; Ecotypes; Premating barrier; Postmating barrier; Ecological speciation; Inbreeding	PREZYGOTIC REPRODUCTIVE ISOLATION; NASONIA-VITRIPENNIS POPULATIONS; LOCAL MATE COMPETITION; CYTOPLASMIC INCOMPATIBILITY; SEXUAL SELECTION; OUTBREEDING DEPRESSION; INBREEDING DEPRESSION; POSTZYGOTIC ISOLATION; HYBRID BREAKDOWN; HOST SHIFTS	Background To understand which reproductive barriers initiate speciation is a major question in evolutionary research. Despite their high species numbers and specific biology, there are only few studies on speciation in Hymenoptera. This study aims to identify very early reproductive barriers in a local, sympatric population of Nasonia vitripennis (Walker 1836), a hymenopterous parasitoid of fly pupae. We studied ecological barriers, sexual barriers, and the reduction in F1-female offspring as a postmating barrier, as well as the population structure using microsatellites. Results We found considerable inbreeding within female strains and a population structure with either three or five subpopulation clusters defined by microsatellites. In addition, there are two ecotypes, one parasitizing fly pupae in bird nests and the other on carrion. The nest ecotype is mainly formed from one of the microsatellite clusters, the two or four remaining microsatellite clusters form the carrion ecotype. There was slight sexual isolation and a reduction in F1-female offspring between inbreeding strains from the same microsatellite clusters and the same ecotypes. Strains from different microsatellite clusters are separated by a reduction in F1-female offspring. Ecotypes are separated only by ecological barriers. Conclusions This is the first demonstration of very early reproductive barriers within a sympatric population of Hymenoptera. It demonstrates that sexual and premating barriers can precede ecological separation. This indicates the complexity of ecotype formation and highlights the general need for more studies within homogenous populations for the identification of the earliest barriers in the speciation process.	[Malec, Pawel] Naturpk Steigerwald EV, D-91443 Scheinfeld, Germany; [Weber, Justus; Reinisch, Ronja; Polyvas, Viktoria; Pollmann, Marie; von Berg, Lea; Steidle, Johannes L. M.] Univ Hohenheim, Inst Biol, Dept Chem Ecol 190T, D-70593 Stuttgart, Germany; [Boehmer, Robin] Nat Hist Museum Bern, CH-3005 Bern, Switzerland; [Fiebig, Marc] Landratsamt Kitzingen, Untere Naturschutzbehorde, D-97318 Kitzingen, Germany; [Meinert, Denise] Kerschensteiner Schule, D-70469 Stuttgart, Germany; [Rein, Carolin] Univ Hohenheim, Apicultural State Inst, D-70593 Stuttgart, Germany; [Henrich, Maik] Univ Freiburg, Wildlife Ecol & Management, D-79106 Freiburg, Germany; [Koenig, Christian] Minist Umwelt Klima & Energiewirtschaft, Akad Natur & Umweltschutz Baden Wurttemberg, D-70192 Stuttgart, Germany		Steidle, JLM (corresponding author), Univ Hohenheim, Inst Biol, Dept Chem Ecol 190T, D-70593 Stuttgart, Germany.	jsteidle@uni-hohenheim.de			Landesgraduiertenforderung Baden-Wurttemberg	PM was financially supported by the Landesgraduiertenforderung Baden-Wurttemberg.		159	0	0	10	10	BMC	LONDON	CAMPUS, 4 CRINAN ST, LONDON N1 9XW, ENGLAND		2730-7182		BMC ECOL EVOL	BMC Ecol. Evol.	NOV 15	2021	21	1							204	10.1186/s12862-021-01938-y			22	Ecology; Evolutionary Biology; Genetics & Heredity	Science Citation Index Expanded (SCI-EXPANDED)	Environmental Sciences & Ecology; Evolutionary Biology; Genetics & Heredity	WX8EJ	WOS:000718822400001	34781897	gold, Green Published			2022-04-22	
J	Ayasse, M; Paxton, RJ; Tengo, J				Ayasse, M; Paxton, RJ; Tengo, J			Mating behavior and chemical communication in the order hymenoptera	ANNUAL REVIEW OF ENTOMOLOGY			English	Review						sex pheromones; mating strategies; chemistry; behavior; chemical mimicry	POLISTES-FUSCATUS HYMENOPTERA; NATURAL ODORIFEROUS COMPOUNDS; MANDIBULAR GLAND SECRETIONS; MALE REPRODUCTIVE-BEHAVIOR; LASIOGLOSSUM-MALACHURUM HYMENOPTERA; EUSOCIAL HALICTINE BEE; PAPER WASPS POLISTES; MALE PINE SAWFLIES; SEX-PHEROMONE; DUFOURS GLAND	Insects of the order Hymenoptera are biologically and economically important members of natural and agro ecosystems and exhibit diverse biologies, mating systems, and sex pheromones. We review what is known of their sex pheromone chemistry and function, paying particular emphasis to the Hymenoptera Aculeata (primarily ants, bees, and sphecid and vespid wasps), and provide a framework for the functional classification of their sex pheromones. Sex pheromones often comprise multicomponent blends derived from numerous exocrine tissues, including the cuticle. However, very few sex pheromones have been definitively characterized using bioassays, in part because of the behavioral sophistication of many Aculeata. The relative importance of species isolation versus sexual selection in shaping sex pheromone evolution is still unclear. Many species appear to discriminate among mates at the level of individual or kin/colony, and they use antiaphrodisiacs. Some orchids use hymenopteran sex pheromones to dupe males into performing pseudocopulation, with extreme species specificity.	Univ Vienna, Dept Evolutionary Biol, Inst Zool, A-1090 Vienna, Austria; Univ Tubingen, Inst Zool, D-72076 Tubingen, Germany; Uppsala Univ, Ecol Res Stn, S-38693 Farjestaden, Sweden		Ayasse, M (corresponding author), Univ Vienna, Dept Evolutionary Biol, Inst Zool, Waehringer Guertel 18, A-1090 Vienna, Austria.	Manfred.Ayasse@univie.ac.at	Paxton, Robert John/D-7082-2015	Paxton, Robert John/0000-0003-2517-1351				295	297	307	8	168	ANNUAL REVIEWS	PALO ALTO	4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, CA 94303-0139 USA	0066-4170	1545-4487		ANNU REV ENTOMOL	Annu. Rev. Entomol.		2001	46						31	78		10.1146/annurev.ento.46.1.31			48	Entomology	Science Citation Index Expanded (SCI-EXPANDED)	Entomology	418EE	WOS:000167877300003	11112163				2022-04-22	
J	Queffelec, J; Allison, JD; Greeff, JM; Slippers, B				Queffelec, Josephine; Allison, Jeremy D.; Greeff, Jaco M.; Slippers, Bernard			Influence of reproductive biology on establishment capacity in introduced Hymenoptera species	BIOLOGICAL INVASIONS			English	Review						Invasive species; Insects; Reproductive traits; Introduction; Biological control	LEPTOCYBE-INVASA HYMENOPTERA; APIS-MELLIFERA-SCUTELLATA; APHIDIUS-ERVI HALIDAY; MALE-KILLING BACTERIA; AFRICAN HONEY-BEE; GALL-FORMING WASP; SEX-RATIO; CYTOPLASMIC INCOMPATIBILITY; WOLBACHIA INFECTION; GENETIC DIVERSITY	Introduced species face numerous biological barriers before they can establish in a new environment. Understanding how they overcome these obstacles is crucial for the development of effective risk assessment and regulation. Reproductive biology is known to influence establishment capacity in plants and is widely used for risk assessment. This biological field should receive more attention, and particularly in the case of insects, as they display a wide range of reproductive traits and have a great impact on the economy and environment. Among insects, the order Hymenoptera is of interest for its diversity, both in terms of reproductive traits and introduction history, as invasive species and biological control agents. We review the main reproductive strategies of Hymenoptera, spanning parthenogenesis, sex determination, reproductive parasites and mating strategies, and evaluate their effect on invasive potential. For instance, thelytoky could decrease the strength of Allee effects while Arrhenotoky could increase adaptive potential. A species with complementary sex determination could be more affected by inbreeding than other species, while paternal genome elimination could lead to high levels of homozygosity. Finally, some reproductive behaviours could decrease inbreeding, facilitate mate location or adaptation by encouraging admixture. The two invasive speciesApis mellifera scutellataandLeptocybe invasaand the biocontrol agentAphidius erviserve as case studies to illustrate the effect of reproductive traits on species capacities to become established in a new area.	[Queffelec, Josephine; Slippers, Bernard] Univ Pretoria, Forestry & Agr Biotechnol Inst FABI, Lunnon Rd, ZA-0002 Pretoria, South Africa; [Queffelec, Josephine; Greeff, Jaco M.; Slippers, Bernard] Univ Pretoria, Dept Biochem Genet & Microbiol, Lunnon Rd, ZA-0002 Pretoria, South Africa; [Allison, Jeremy D.] Univ Pretoria, Dept Zool & Entomol, Pretoria, South Africa; [Allison, Jeremy D.] Nat Resources Canada, Canadian Forest Serv, Great Lakes Forestry Ctr, 1219 Queen St East, Sault Ste Marie, ON P6A 2E5, Canada		Slippers, B (corresponding author), Univ Pretoria, Forestry & Agr Biotechnol Inst FABI, Lunnon Rd, ZA-0002 Pretoria, South Africa.	josephine.queffelec@fabi.up.ac.za; jeremy.allison@canada.ca; bernard.slippers@fabi.up.ac.za	Greeff, Jaco M/A-5582-2011; Slippers, Bernard/A-9351-2008	Slippers, Bernard/0000-0003-1491-3858; Greeff, Jaco/0000-0003-2951-6791; Queffelec, Josephine/0000-0003-4325-0758; Allison, Jeremy/0000-0002-0765-3149	Tree Protection Cooperative Programme (TPCP); Natural Resources CanadaNatural Resources CanadaCanadian Forest Service; U.S. Department of AgricultureUnited States Department of Agriculture (USDA)	We thank the Tree Protection Cooperative Programme (TPCP), Natural Resources Canada and the U.S. Department of Agriculture for funding.		168	4	4	4	27	SPRINGER	DORDRECHT	VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS	1387-3547	1573-1464		BIOL INVASIONS	Biol. Invasions	FEB	2021	23	2					387	406		10.1007/s10530-020-02375-6		OCT 2020	20	Biodiversity Conservation; Ecology	Science Citation Index Expanded (SCI-EXPANDED)	Biodiversity & Conservation; Environmental Sciences & Ecology	QD1IS	WOS:000577382400001					2022-04-22	
J	Zhang, LY; Driscoe, A; Izen, R; Toussaint, C; Ott, JR; Egan, SP				Zhang, Linyi; Driscoe, Amanda; Izen, Rebecca; Toussaint, Calli; Ott, Jim R.; Egan, Scott P.			Immigrant inviability promotes reproductive isolation among host-associated populations of the gall wasp Belonocnema treatae	ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA			English	Article						ecological speciation; hypersensitive response; local adaptation; barriers to gene flow; Quercus; Hymenoptera; Cynipidae; Fagaceae	PROGRAMMED CELL-DEATH; NATURAL-SELECTION; GENE FLOW; INSECTS; HYPERSENSITIVITY; HYMENOPTERA; RESISTANCE; PLANTS	Ecological speciation describes the evolutionary process whereby divergent natural selection between environments generates reproductive isolation. Studying the magnitude of sequential reproductive barriers between ecologically divergent populations improves our understanding of the way these barriers evolve and how each contributes to the speciation process. Immigrant inviability describes the lower fitness of immigrants in non-native environments and is an important, but long underexplored, reproductive barrier. In this study, we test the role of immigrant inviability among host-associated populations of the gall wasp Belonocnema treataeMayr (Hymenoptera: Cynipini: Cynipidae) by measuring the ability of gall wasps to initiate and complete gall formation, while avoiding host immune responses, on closely related native and non-native live oaks, Quercus virginianaMill., Quercus fusiformisSmall, and Quercus geminataSmall (Fagaceae). In general, we found evidence for immigrant inviability when B.treatae populations colonized non-native host species. However, patterns were variable among years, suggesting that episodic events may play an important role in connecting ecologically divergent populations.	[Zhang, Linyi; Izen, Rebecca; Egan, Scott P.] Rice Univ, Dept Biosci, Houston, TX 77005 USA; [Driscoe, Amanda; Toussaint, Calli; Ott, Jim R.] Texas State Univ, Dept Biol, Populat & Conservat Biol Program, San Marcos, TX 78666 USA		Egan, SP (corresponding author), Rice Univ, Dept Biosci, Houston, TX 77005 USA.	scott.p.egan@rice.edu						47	10	10	0	6	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0013-8703	1570-7458		ENTOMOL EXP APPL	Entomol. Exp. Appl.	MAR	2017	162	3					379	388		10.1111/eea.12548			10	Entomology	Science Citation Index Expanded (SCI-EXPANDED)	Entomology	EP6XO	WOS:000397522400013					2022-04-22	
J	Jeong, G; Stouthamer, R				Jeong, Gilsang; Stouthamer, Richard			Influence of postzygotic reproductive isolation on the interspecific transmission of the paternal sex ratio chromosome in Trichogramma	ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA			English	Article						Hymenoptera; Trichogrammatidae; hybrid inviability; hybrid sterility; Trichogramma kaykai; Trichogramma deion	SELFISH GENETIC ELEMENTS; NASONIA HYMENOPTERA; INCOMPATIBILITY; WOLBACHIA	The paternal sex ratio (PSR) chromosome is a supernumerary chromosome that causes the destruction of the paternal chromosome set in the first mitosis in a fertilized egg. It is known from parasitoid wasps in the genera Nasonia and Trichogramma (Hymenoptera). In these haplodiploids, the egg fertilized by sperm carrying PSR matures as a haploid male that again carries, and is capable of transmitting, the PSR chromosome. Because of its unique transmission behavior, the PSR chromosome may be easily transmitted between species. This study tests whether the interspecific transmission of PSR between Trichogramma kaykai Pinto and Stouthamer and Trichogramma deion Pinto and Oatman (Hymenoptera: Trichogrammatidae) is affected by two types of postzygotic reproductive isolation, i.e., hybrid inviability and hybrid sterility. The results show that PSR can rescue fertilized eggs that would normally be inviable in the interspecific cross and the rescued eggs develop into male offspring that carry PSR. The results suggest that the two types of postzygotic reproductive isolation have no effect on the transmission of PSR between the two Trichogramma species.	Univ Calif Riverside, Dept Entomol, Riverside, CA 92521 USA; Univ Wageningen & Res Ctr, Entomol Lab, NL-6700 EH Wageningen, Netherlands		Jeong, G (corresponding author), Univ Calif Riverside, Dept Entomol, Riverside, CA 92521 USA.	gilsangj@ucr.edu						24	7	9	0	5	WILEY-BLACKWELL	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0013-8703	1570-7458		ENTOMOL EXP APPL	Entomol. Exp. Appl.	JUL	2006	120	1					33	40		10.1111/j.1570-7458.2006.00421.x			8	Entomology	Science Citation Index Expanded (SCI-EXPANDED)	Entomology	052SE	WOS:000238253400004					2022-04-22	
J	Ward, AKG; Sheikh, SI; Forbes, AA				Ward, Anna K. G.; Sheikh, Sofia, I; Forbes, Andrew A.			Diversity, Host Ranges, and Potential Drivers of Speciation Among the Inquiline Enemies of Oak Gall Wasps (Hymenoptera: Cynipidae)	INSECT SYSTEMATICS AND DIVERSITY			English	Article						Synergus; Cynipidae; ecological speciation; Quercus; gall-forming insects	ANDRICUS-QUERCUSCALICIS HYMENOPTERA; RACE FORMATION; GENETIC DIFFERENTIATION; ECOLOGICAL SPECIATION; GEOGRAPHIC-VARIATION; DNA BARCODES; PARASITOIDS; POPULATION; INSECTS; HISTORY	Animals that exploit living spaces of other animals (inquilines) may have specialized traits that adapt them to extended phenotypes of their 'hosts'. These adaptations to host traits may incur fitness trade-offs that restrict the host range of an inquiline such that shifts to new hosts might trigger inquiline diversification. Speciation via host shifting has been studied in many animal parasites, but we know less about the role of host shifts in inquiline speciation. Synergus Hartig (Hymenoptera: Cynipidae: Synergini) is a speciose but taxonomically challenging genus of inquilines that feed inside galls induced by oak gall wasps (Hymenoptera: Cynipidae: Cynipini). Here, we report on a large collection of Synergus reared from galls of 33 oak gall wasp species in the upper Midwestern United States. We integrated DNA barcodes, morphology, ecology, and phenology to delimit putative species of Synergus and describe their host ranges. We find evidence of at least 23 Synergus species associated with the 33 gall wasp hosts. At least five previously described Synergus species are each complexes of two to five species, while three species fit no prior description. We find evidence that oak tree phylogeny and host gall morphology define axes of specialization for Synergus. The North American Synergus have experienced several transitions among gall hosts and tree habitats and their host use is correlated with reproductive isolation. It remains too early to tell whether shifts to new hosts initiate speciation events in Synergus inquilines of oak gall wasps, or if host shifts occur after reproductive isolation has already evolved.	[Ward, Anna K. G.; Sheikh, Sofia, I; Forbes, Andrew A.] Univ Iowa, Dept Biol, 129 East Jefferson St, Iowa City, IA 52242 USA		Ward, AKG (corresponding author), Univ Iowa, Dept Biol, 129 East Jefferson St, Iowa City, IA 52242 USA.	anna-k-ward@uiowa.edu	Forbes, Andrew/AAH-2218-2021	Ward, Anna/0000-0003-0251-346X	Center for Global and Regional Environmental Research at the University of Iowa; James Van Allen Natural Sciences Fellowship	Robin Bagley, Will Carr, Sarah Duhon, Alaine Hippee, Kyle McElroy, Daniel McGarry, Kevin Neely, Monzer Shakally, Eric Tvedte, Joseph Verry, and Caleb Wilson helped collect galls. Irene Lobato-Vila provided helpful context regarding possible morphological variation within Synergus lignicola and its synonymy with Synergus davisi. Three anonymous reviewers dramatically increased the quality of the final manuscript. Funding for collections was provided to A.K.G.W. and S.I.S. from the Center for Global and Regional Environmental Research at the University of Iowa, and by a James Van Allen Natural Sciences Fellowship to A.A.F.		97	2	2	1	2	OXFORD UNIV PRESS INC	CARY	JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA		2399-3421		INSECT SYST DIVER	Insect Syst. Divers.	NOV	2020	4	6							3	10.1093/isd/ixaa017			13	Entomology	Science Citation Index Expanded (SCI-EXPANDED)	Entomology	PN4ET	WOS:000604434300005		Green Submitted			2022-04-22	
J	Villemant, C; Simbolotti, G; Kenis, M				Villemant, Claire; Simbolotti, Giuseppina; Kenis, Marc			Discrimination of Eubazus (Hymenoptera, Braconidae) sibling species using geometric morphometrics analysis of wing venation	SYSTEMATIC ENTOMOLOGY			English	Article							WEEVILS COLEOPTERA; SHAPE; PISSODES; CURCULIONIDAE; PARASITOIDS; IDENTIFICATION; POPULATIONS; ASYMMETRY; DIPTERA; SIZE	Complexes of sibling and cryptic species are encountered frequently in parasitic Hymenoptera. Geometric morphometrics is a useful tool to detect minimal morphological variations, which often are undetectable by traditional morphological studies and even by classical morphometric approaches. We applied geometric morphometrics to wing venation to assess a complex case of sibling species in the genus Eubazus (Hymenoptera, Braconidae), parasitoids of conifer bark weevils of the genus Pissodes (Coleoptera, Curculionidae). The results and methods were compared with previous taxonomic studies on the same species, involving classical multivariate morphometrics, isoenzyme analyses, cross-mating experiments and biological observations. Geometric morphometrics confirmed the previous division into four distinct species. However, this approach enabled the four species to be separated simultaneously, with a reliability of 98.6% for well-classified females and 93.1% for males. A similar result in previous studies was obtained only by combining isoenzyme analyses and several canonical variate analyses, including many morphometric characters. Furthermore, measurements of wing venation were less time-consuming, more reliable and required less prior knowledge of braconid taxonomy than the measurements needed for the classical morphometrics methods. Geometric morphometrics was used also to test the effect of host species on wing shape. Several female populations of Eubazus semirugosus originating from three different Pissodes spp. were compared. Significant differences were found in wing shape between conspecific Eubazus from different host species. The results are discussed in relation to reproductive isolation and genetic flow between the four species.	Museum Natl Hist Nat, Dept Systemat & Evolut, UMT 5202& GDR 2474, CNRS, F-75005 Paris, France; Univ Aquila, Dipartimento Sci Ambientali, I-67100 Laquila, Italy; CABI Biosci Switzerland Ctr, Delemont, Switzerland		Villemant, C (corresponding author), Museum Natl Hist Nat, Dept Systemat & Evolut, UMT 5202& GDR 2474, CNRS, CP 50 Entomol,45 Rue Buffon, F-75005 Paris, France.	villeman@mnhn.fr						50	67	86	1	13	BLACKWELL PUBLISHING	OXFORD	9600 GARSINGTON RD, OXFORD OX4 2DQ, OXON, ENGLAND	0307-6970			SYST ENTOMOL	Syst. Entomol.	OCT	2007	32	4					625	634		10.1111/j.1365-3113.2007.00389.x			10	Evolutionary Biology; Entomology	Science Citation Index Expanded (SCI-EXPANDED)	Evolutionary Biology; Entomology	215RX	WOS:000249827800003					2022-04-22	
J	Nomano, FY; Kasuya, N; Matsuura, A; Suwito, A; Mitsui, H; Buffington, ML; Kimura, MT				Nomano, Fumiaki Y.; Kasuya, Nazuki; Matsuura, Akira; Suwito, Awit; Mitsui, Hideyuki; Buffington, Matthew L.; Kimura, Masahito T.			Genetic differentiation of Ganaspis brasiliensis (Hymenoptera: Figitidae) from East and Southeast Asia	APPLIED ENTOMOLOGY AND ZOOLOGY			English	Article						Drosophila suzukii; Nucleotide sequence; Parasitoids; Reproductive isolation; Species status	DROSOPHILA-SUZUKII; DIPTERA DROSOPHILIDAE; CLIMATIC ADAPTATIONS; HOST ASSOCIATIONS; PARASITOIDS; PHYLOGENETICS; DISTRIBUTIONS; TAKAHASHII; DIVERSITY; ABUNDANCE	Ganaspis brasiliensis (Ihering) (Hymenoptera: Figitidae: Eucoilinae) is a Drosophila parasitoid that has often been misidentified as G. xanthopoda (Ashmead) in recent studies. This study aims to clarify genetic differentiation of G. brasiliensis based on the nucleotide sequences of the mitochondrial cytochrome oxidase subunit 1 (CO1) gene and three nuclear DNA regions, the inter-transcribed spacers 1 and 2 (ITS1 and ITS2) and putative 60S ribosomal protein L37 (RpL37), as well as crossing experiments. Four lineages are recognized in individuals assigned as G. basiliensis by morphology, (1) individuals occurring in Japan and probably South Korea, (2) individuals from a small subtropical island of Japan, Iriomote-jima, (3) individuals from temperate lowlands of Japan and high altitude areas of Southeast Asia, and (4) individuals occurring widely in Asia, America, Hawaii and Africa. The first lineage is a specialist of Drosophila suzukii (Matsumura), a pest of fresh fruit, and also the fourth lineage has a capacity to parasitize this pest species. The first, third and fourth lineages occur sympatrically at least in Tokyo. The third and fourth lineages differed in mate choice and host use to some extent, but post-mating isolation between them was almost absent.	[Nomano, Fumiaki Y.; Kasuya, Nazuki; Matsuura, Akira] Hokkaido Univ, Grad Sch Environm Earth Sci, Sapporo, Hokkaido 0600810, Japan; [Suwito, Awit] Museum Zool Bogoriense, Res Ctr Biol LIPI, Div Zool, Bogor 16911, Cibinong, Indonesia; [Mitsui, Hideyuki] Tsurumaki 3-2-614,Tama Ku, Tokyo 2060034, Japan; [Buffington, Matthew L.] Smithsonian Inst, Systemat Entomol Lab, USDA, Natl Museum Nat Hist, Washington, DC 20013 USA; [Kimura, Masahito T.] Hokkaido Univ, Hokkaido Univ Museum, Sapporo, Hokkaido 0600810, Japan		Kimura, MT (corresponding author), Hokkaido Univ, Hokkaido Univ Museum, Sapporo, Hokkaido 0600810, Japan.	mtk@ees.hokudai.ac.jp	Nomano, Fumiaki Y./AAZ-8551-2020	Buffington, Matthew/0000-0003-1900-3861	Japan Society for the Promortion of ScienceMinistry of Education, Culture, Sports, Science and Technology, Japan (MEXT)Japan Society for the Promotion of Science [23370005]; Dropsa Project	We thank M. Kondo and M. B. Lankim who provided us with Ganaspis specimens from Kinabalu, and T. I. Kohyama, G. Kinoshita, and H. Suzuki for their advice and assistance in the molecular and phylogenetic analyses. This study was supported by Grant-in-Aids from the Japan Society for the Promortion of Science (No. 23370005) and also performed as a part of the Dropsa Project. The USDA does not endorse any commercial product mentioned in this research. USDA is an equal opportunity provider and employer.		33	26	27	1	27	SPRINGER JAPAN KK	TOKYO	SHIROYAMA TRUST TOWER 5F, 4-3-1 TORANOMON, MINATO-KU, TOKYO, 105-6005, JAPAN	0003-6862	1347-605X		APPL ENTOMOL ZOOL	Appl. Entomol. Zoolog.	AUG	2017	52	3					429	437		10.1007/s13355-017-0493-0			9	Entomology	Science Citation Index Expanded (SCI-EXPANDED)	Entomology	FB6ZN	WOS:000406291000008		Green Submitted			2022-04-22	
J	Htwe, AN; Takagi, M; Takasu, K				Htwe, Ah Nge; Takagi, Masami; Takasu, Keiji			Reproductive Isolation between Japanese and Myanmar Populations of Cotesia vestalis (=plutellae) (Hymenoptera: Braconidae), a Larval Parasitoid of Plutella xylostella (Lepidoptera: Plutellidae)	JOURNAL OF THE FACULTY OF AGRICULTURE KYUSHU UNIVERSITY			English	Article							DIAMONDBACK MOTH; INCOMPATIBILITY; TRICHOGRAMMA; YPONOMEUTIDAE; MANAGEMENT; WASPS; LEP.	Cotesia, vestalis (Hymenoptera: Braconidae) has been widely used in many parts of the world as a major biocontrol agent, of the diamondback moth, Plutella xylostella. The rate of parasitism and the rate of control exerted on the pests are highly variable geographically as well as not. all introduction and augmentations were successful. Populations from different geographic regions often display various Levels of reproductive incompatibility because they have been geographically isolated, experienced different selection pressures and/or adapted to various local environments. Experiment were conducted to compare reproductive compatibility between two geographic populations of C. vestalis one from Fukuoka, Japan (Temperate population) and the other from Mandalay, Myanmar (Tropical population). Results indicated that there was partial incompatibility between the two populations.	[Htwe, Ah Nge; Takagi, Masami; Takasu, Keiji] Kyushu Univ, Fac Agr, Lab Insect Nat Enemies, Div Biol Control,Dept Appl Genet & Pest Managemen, Fukuoka 8128581, Japan		Takagi, M (corresponding author), Kyushu Univ, Fac Agr, Lab Insect Nat Enemies, Div Biol Control,Dept Appl Genet & Pest Managemen, Fukuoka 8128581, Japan.	mtakagi@grt.kyushu-u.ac.jp	Takasu, Keiji/V-8309-2019					35	1	1	0	2	KYUSHU UNIV, FACULTY AGRICULTURAL PUBLICATIONS	FUKUOKA-SHI	6-10-1 HAKOZAKI, HIGASHI-KU, FUKUOKA-SHI, 812-0053, JAPAN	0023-6152			J FAC AGR KYUSHU U	J. Fac. Agric. Kyushu Univ.	FEB	2009	54	1					153	157					5	Agriculture, Multidisciplinary	Science Citation Index Expanded (SCI-EXPANDED)	Agriculture	446MK	WOS:000266125500024					2022-04-22	
