PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Foucault, Q; Wieser, A; Heumann-Kiesler, C; Diogo, J; Cocchiararo, B; Nowak, C; Waldvogel, AM; Pfenninger, M				Foucault, Quentin; Wieser, Andreas; Heumann-Kiesler, Clara; Diogo, Joao; Cocchiararo, Berardino; Nowak, Carsten; Waldvogel, Ann-Marie; Pfenninger, Markus			An experimental assessment of reproductive isolation and its consequences for seasonal hybridization dynamics	BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY			English	Article						Diptera; experimental hybridization; introgression; microsatellite marker; trickle hybridization	CHIRONOMUS-RIPARIUS DIPTERA; REPETITIVE DNA-SEQUENCE; THUMMI; INTROGRESSION; LOCALIZATION; REGION	While the spatial aspect of hybridization has been investigated in depth, the temporal aspect has not. We analysed the seasonal hybridization dynamics of a multivoltine non-biting midge sister species pair, Chironomus riparius and C. piger. We investigated the fertility and fitness of F-1 hybrids, and all possible first-generation backcross hybrids, under different temperature conditions. Based on microsatellite markers, we then inferred the presence of different hybrid classes in seasonal field samples (spring and autumn) from a site of co-occurrence over two consecutive years. All experimental hybrids showed reduced fertility albeit without a specific temperature effect. Fitness was zero in one F-1 direction, but not reduced in the other. No sex ratio distortion was observed. However, fitness was reduced in all backcrosses, indicating that hybridization should be rare in the field. In the seasonal samples, C. piger was found only in autumn individuals. All 359 genotyped individuals were attributed to either of the pure species. However, several individuals of the autumn samples carried signs of later generation introgression, indicating that actual hybridization must take place recurrently during summer. We thus present evidence that seasonal environmental changes can drive hybridization dynamics and that long-term recurrent hybridization need not affect species integrity.	[Foucault, Quentin; Wieser, Andreas; Heumann-Kiesler, Clara; Diogo, Joao; Waldvogel, Ann-Marie; Pfenninger, Markus] Senckenberg Biodivers & Climate Res Ctr, Dept Mol Ecol, Senckenberganlage 25, D-60325 Frankfurt, Germany; [Foucault, Quentin; Wieser, Andreas; Pfenninger, Markus] Johannes Gutenberg Univ Mainz, Inst Mol & Organism Evolut, Johann Joachim Becher Weg 7, D-55128 Mainz, Germany; [Heumann-Kiesler, Clara] Goethe Univ, Inst Okol Evolut & Diversitat, Max von Laue Str 13, D-60438 Frankfurt, Germany; [Cocchiararo, Berardino; Nowak, Carsten] Senckenberg Res Inst, Conservat Genet Grp, Clamecystr 12, D-63571 Gelnhausen, Germany; [Cocchiararo, Berardino; Nowak, Carsten] Nat Hist Museum Frankfurt, Clamecystr 12, D-63571 Gelnhausen, Germany		Pfenninger, M (corresponding author), Senckenberg Biodivers & Climate Res Ctr, Dept Mol Ecol, Senckenberganlage 25, D-60325 Frankfurt, Germany.; Pfenninger, M (corresponding author), Johannes Gutenberg Univ Mainz, Inst Mol & Organism Evolut, Johann Joachim Becher Weg 7, D-55128 Mainz, Germany.	Markus.Pfenninger@senckenberg.de	Cocchiararo, Berardino/ABG-5283-2020	Pfenninger, Markus/0000-0002-1547-7245	 [PF 390/9-1]	We thank T. Hankeln, Mainz, for providing C. piger clutches from his laboratory population. The manuscript profited from the constructive comments of two anonymous reviewers. The work received funding from the SPP 1819 'Rapid adaptation' grant no. PF 390/9-1.		41	1	1	1	2	OXFORD UNIV PRESS	OXFORD	GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND	0024-4066	1095-8312		BIOL J LINN SOC	Biol. J. Linnean Soc.	FEB	2019	126	2					327	337		10.1093/biolinnean/bly177			11	Evolutionary Biology	Science Citation Index Expanded (SCI-EXPANDED)	Evolutionary Biology	HO0SR	WOS:000460614900010					2022-03-29	
J	Williams, K; Villet, MH				Williams, Kirstin; Villet, Martin H.			Ancient and modern hybridization between Lucilia sericata and L. cuprina (Diptera: Calliphoridae)	EUROPEAN JOURNAL OF ENTOMOLOGY			English	Article						Diptera; Calliphoridae; Lucilia sericata; L. cuprina; hybrids; mDNA; phylogenetic; taxonomy; introgression	MAGGOT DEBRIDEMENT THERAPY; MITOCHONDRIAL-DNA; PHYLOGENETIC ANALYSIS; WIEDEMANN DIPTERA; IDENTIFICATION; POPULATIONS; FLIES; TALE; VARIABILITY; WOLBACHIA	There are important but inconsistent differences in breeding site preference between the blow flies Lucilia sericata (Meigen, 1826) and L. cuprina (Wiedemann, 1830) (Diptera: Calliphoridae) that have significance for medical and veterinary science. These inconsistencies might arise from hybridisation. The species are difficult to distinguish using external morphology, although the male genitalia are distinctive and there are reliable molecular markers. Molecular evidence of modern hybridisation, derived from a newly developed nuclear marker, the period (per) gene, is presented here. This has implications for identifications of these species based on mtDNA, and may lead to an explanation of the medical and veterinary anomalies noted in these species.	[Williams, Kirstin] Durban Nat Sci Museum, ZA-4000 Durban, South Africa; [Williams, Kirstin; Villet, Martin H.] Rhodes Univ, Dept Zool & Entomol, Southern African Forens Entomol Res Lab, ZA-6140 Grahamstown, South Africa		Williams, K (corresponding author), Durban Nat Sci Museum, POB 4085, ZA-4000 Durban, South Africa.	WilliamsK@durban.gov.za; M.Villet@ru.ac.za	Villet, Martin H./H-3064-2019; Williams, Kirstin/ABG-7175-2020	Villet, Martin H./0000-0002-4335-5667; Williams, Kirstin/0000-0001-5542-6808	Durban Natural Science Museum; National Research Foundation of South AfricaNational Research Foundation - South Africa; Rhodes University	We thank F. Cronje, D. Emery, G. Goergen, C. Hanel, O. Harrison, C. Kelly, A. Kirk-Spriggs, N. Lunt, M. Mansell, R. Merrit, N. Mkize, H. Numata, C. Richards, K. Saigusa, K. Sink, K. Smith, K. Sukontason, J. Wallman, G. Whittington-Jones, and C. Wyss for providing specimens from different localities; O. Harrison for generating the locality map; J. Lamb (University of KwaZulu-Natal) for access to facilities; J. Vivian and T. Naidoo for laboratory assistance and advice; T. Pape and two anonymous referees for their valuable comments on the draft manuscript; and the Durban Natural Science Museum, the National Research Foundation of South Africa and Rhodes University for financial support. Any opinion, findings and conclusions or recommendations expressed in this material are those of the authors and do not necessarily reflect the views of the National Research Foundation.		52	16	17	0	17	CZECH ACAD SCI, INST ENTOMOLOGY	CESKE BUDEJOVICE	BRANISOVSKA 31, CESKE BUDEJOVICE 370 05, CZECH REPUBLIC		1802-8829		EUR J ENTOMOL	Eur. J. Entomol.		2013	110	2					187	196		10.14411/eje.2013.029			10	Entomology	Science Citation Index Expanded (SCI-EXPANDED)	Entomology	131ZV	WOS:000318038400002		Green Submitted, gold			2022-03-29	
J	Michailova, PV				Michailova, PV			Cytotaxonomy of Chironomidae (Diptera) from Lake Shabla (Bulgaria): Cytogenetic evidence for introgressive hybridization	HYDROBIOLOGIA			English	Article; Proceedings Paper	3rd International Congress of Dipterology	AUG 15-19, 1994	UNIV GUELPH, GUELPH, CANADA		UNIV GUELPH	Chironomidae; Shabla Lake; Glyptotendipes; introgressive hybridization; chromosome	GLYPTOTENDIPES KIEFF DIPTERA; LARVAE	Twenty-two chironomid species were found in Lake Shabla. Five species (Chironomus bonus, Dicrotendipes lobiger, Kiefferulus tendipediformis, Cricotopus suspiciosus and Cricotopus sp.) are new for Bulgaria. Their karytopes are described for the first time. Cytogenetic studies of two closely related chironomid species, Glyptotendipes glaucus and G. pallens, show that in one area of sympatry (Lake Shabla, Bulgaria) about 2.5% of the naturally occuring individuals are hybrids. In most cases, in this hybrid, Ist, IInd and IIIrd chromosomes correspond fully to the chromosomes of G. glaucus. The IVth chromosome is a hybrid, with one homologue of the species G. glaucus; the other homologue is derived from G. pallens. Introgressive hybridization is of particular importance to the production of these combinations. Despite hybridization, natural selection appears to maintain the essential integrity of each separate gene pool.			Michailova, PV (corresponding author), BULGARIAN ACAD SCI,INST ZOOL,1 TZAR OSVOBODITEL BOUL,BU-1000 SOFIA,BULGARIA.							22	5	6	0	0	KLUWER ACADEMIC PUBL	DORDRECHT	SPUIBOULEVARD 50, PO BOX 17, 3300 AA DORDRECHT, NETHERLANDS	0018-8158			HYDROBIOLOGIA	Hydrobiologia	JAN 26	1996	318	1-2					25	42		10.1007/BF00014129			18	Marine & Freshwater Biology	Conference Proceedings Citation Index - Science (CPCI-S); Science Citation Index Expanded (SCI-EXPANDED)	Marine & Freshwater Biology	UA945	WOS:A1996UA94500005					2022-03-29	
J	Tseng, M				Tseng, Michelle			The Effect of Parasitism and Interpopulation Hybridization on Aedes albopictus (Diptera: Culicidae) Fitness	JOURNAL OF MEDICAL ENTOMOLOGY			English	Article						Aedes albopictus; Ascogregarina taiwanensis; hybridization; parasite; population	ASCOGREGARINA-TAIWANENSIS APICOMPLEXA; ASIAN TIGER MOSQUITO; POPULATION-GENETICS; ADAPTIVE EVOLUTION; VECTOR COMPETENCE; UNITED-STATES; LIFE-HISTORY; AEGYPTI; LECUDINIDAE; INVASION	Recent research in mosquito population genetics suggests that interpopulation hybridization has likely contributed to the rapid spread of the container-breeding mosquitoes. Here, I used laboratory experiments to investigate whether interpopulation Aedes (Stegomyia) albopictus (Skuse) F1 and F2 hybrids exhibit higher fitness than parental populations, and whether hybrid mosquito performance is related to infection by the coevolved protozoan parasite Ascogregarina taiwanensis (Lien and Levine). Overall, there were significant differences in development time, wing length, and survival between the two parental mosquito populations, but no difference in per capita growth rate r. Hybrid mosquitoes were generally intermediate in phenotype to the parentals, except that F2 females were significantly larger than the midparent average. In addition, As. taiwanensis parasites produced fewest oocysts when they were reared in hosts of hybrid origin. These data suggest that hybridization between previously isolated mosquito populations can result in slight increases in potential mosquito reproductive success, via increased hybrid body size, and via the temporary escape from coevolved parasites. These findings are significant because studies have shown that even slight hybrid vigor can have positive fitness consequences for population persistence. Although this was a laboratory experiment extending only to the F2 generation, many other invasive insects also carry coevolved parasites, and thus the patterns seen in this mosquito system may be broadly relevant.	[Tseng, Michelle] Univ British Columbia, Dept Zool, 4200-6270 Univ Blvd, Vancouver, BC V6T 1Z4, Canada		Tseng, M (corresponding author), Univ British Columbia, Dept Zool, 4200-6270 Univ Blvd, Vancouver, BC V6T 1Z4, Canada.	mtseng@zoology.ubc.ca			Natural Sciences and Engineering Research Council (NSERC) of CanadaNatural Sciences and Engineering Research Council of Canada (NSERC)	S. Otto, N. Sharp, and two anonymous reviewers provided helpful feedback on this manuscript. M.T. was funded through postgraduate and postdoctoral fellowships from the Natural Sciences and Engineering Research Council (NSERC) of Canada.		60	0	0	0	15	OXFORD UNIV PRESS INC	CARY	JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA	0022-2585	1938-2928		J MED ENTOMOL	J. Med. Entomol.	SEP	2017	54	5					1236	1242		10.1093/jme/tjx075			7	Entomology; Veterinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Entomology; Veterinary Sciences	FF6OS	WOS:000409133700019	28419266				2022-03-29	
J	dos Santos, P; Uramoto, K; Matioli, SR				dos Santos, P; Uramoto, K; Matioli, SR			Experimental hybridization among Anastrepha species (Diptera : Tephritidae): Production and morphological characterization of F-1 hybrids	ANNALS OF THE ENTOMOLOGICAL SOCIETY OF AMERICA			English	Article						Anastrepha; hybridization; Haldane's rule; morphological anomalies; gynandromorph	REPRODUCTIVE ISOLATION; FRATERCULUS DIPTERA; SEXUAL ISOLATION; HALDANE-RULE; DROSOPHILA; GENETICS; SPECIATION; EGGS	We report experimental interspecific hybridization between Anastrepha fraterculus (Wiedemann), A. sororcula Zucchi, and A. obliqua (Macquart),widespread and highly destructible crop pests in the Neotropical region. Prezygotic reproductive isolating mechanisms (such as different mating times and male calling songs) seem to be easily disrupted in no-choice crossing conditions. and hybrid flies can be obtained in both directions in most crosses. Crosses between A. sororcula females and A. fraterculus males and between A. obliqua females and A. sororcula males yield adult offspring of males and females. Crosses between A. fraterculus or A. sororcula females and A. obliqua males yield only females clearly obeying Haldane's rule (preferential inviability or sterility of heterogametic hybrids). Crosses between A. obliqua females and A. fraterculus males and between A. fraterculus females and A. sororcula males yield poor or no adult offspring of both sexes, with a fe exceptions. Most F-1 hybrids are fertile and can be backcrossed to both parental species. The few morphological diagnostic characters of the parental forms appear intermediate in F-1 hybrids. In addition, we describe some morphological abnormalities found in hybrids,attributed to maternal or cytoplasmic effects, and the occurrence of gynandromorphs in the progeny of one cross.	Univ Calif Berkeley, Dept Environm Sci Policy & Management, Div Insect Biol, Berkeley, CA 94720 USA; Univ Sao Paulo, Inst Biociencias, Dept Biol, BR-05122970 Sao Paulo, Brazil		dos Santos, P (corresponding author), Univ Calif Berkeley, Dept Environm Sci Policy & Management, Div Insect Biol, 201 Wellman Hall MC 3112, Berkeley, CA 94720 USA.		Uramoto, Keiko/A-7513-2013; Matioli, Sergio/B-5020-2008	Matioli, Sergio/0000-0003-2070-2061				30	23	25	0	5	ENTOMOL SOC AMER	LANHAM	9301 ANNAPOLIS RD, LANHAM, MD 20706 USA	0013-8746			ANN ENTOMOL SOC AM	Ann. Entomol. Soc. Am.	SEP	2001	94	5					717	725		10.1603/0013-8746(2001)094[0717:EHAASD]2.0.CO;2			9	Entomology	Science Citation Index Expanded (SCI-EXPANDED)	Entomology	476CD	WOS:000171207900012					2022-03-29	
J	Schwarz, D; McPheron, BA				Schwarz, Dietmar; McPheron, Bruce A.			When ecological isolation breaks down: sexual isolation is an incomplete barrier to hybridization between Rhagoletis species	EVOLUTIONARY ECOLOGY RESEARCH			English	Article						hybridization; invasives; mating behaviour; reproductive barrier; sexual isolation; speciation	POMONELLA DIPTERA-TEPHRITIDAE; ANIMAL HYBRID SPECIATION; APPLE MAGGOT FLY; MATING-BEHAVIOR; SYMPATRIC SPECIATION; NATURAL-SELECTION; INVASIVE PLANT; MENDAX DIPTERA; HOST RACES; FRUIT-FLY	Question: Environmental disturbance can disrupt habitat choice as an ecological barrier to hybridization between host-specific parasites that mate on their host. Is environment-independent mate choice a sufficient barrier to prevent hybridization when ecological isolation breaks down? Hypothesis: Males and females will not discriminate between conspecific and heterospecific mating partners in the absence of host cues. Study system: Rhagoletis mendax and R. zephyria (Diptera: Tephritidae). Hybridization between these two taxa resulted in the Lonicera fly, an example of hybrid speciation in animals. The Lonicera fly is found only on non-native honeysuckle. Rhagoletis mendax and R. Zephyria discriminate against each other's host but not honeysuckle. This suggests the local breakdown of reproductive isolation via host choice following the introduction of an invasive plant. Methods: We combined males and females of both species in a multi-choice experiment in the laboratory and recorded mating events. Conclusion: Without host plant cues, mate choice is an incomplete barrier to hybridization. Reproductive isolation between host-specific parasites can be influenced by environmental disturbance because a non-ecological barrier (mate choice) alone is too weak to maintain reproductive isolation.	Penn State Univ, Dept Entomol, University Pk, PA 16802 USA		Schwarz, D (corresponding author), Penn State Univ, Dept Entomol, 501 ASI, University Pk, PA 16802 USA.	dxs332@psu.edu		McPheron, Bruce/0000-0001-9623-5100				40	16	16	0	10	EVOLUTIONARY ECOLOGY LTD	TUCSON	UNIV ARIZONA, 321 BIOSCIENCES WEST, TUCSON, AZ 85721 USA	1522-0613	1937-3791		EVOL ECOL RES	Evol. Ecol. Res.	JUL	2007	9	5					829	841					13	Ecology; Evolutionary Biology; Genetics & Heredity	Science Citation Index Expanded (SCI-EXPANDED)	Environmental Sciences & Ecology; Evolutionary Biology; Genetics & Heredity	192HP	WOS:000248192000007					2022-03-29	
J	Tokumaru, S; Abe, Y				Tokumaru, S; Abe, Y			Interspecific hybridization between Liriomyza sativae Blanchard and L. trifolii (Burgess) (Diptera : Agromyzidae)	APPLIED ENTOMOLOGY AND ZOOLOGY			English	Article						Liriomyza sativae; Liriomyza trifolii; interspecific hybridization; oviposition; backcross	L-BRYONIAE; LEAFMINER; TOMATO	We confirmed the occurrence of interspecific hybridization between Liriomyza sativae and L. trifolii on kidney bean (Phaseolus vidgaris L.) at 25 degrees C under a 15L-9D photoperiod regime. Among 48 replications of L. sativae females and L. trifolii males tested, females of 19 replications (39.6%) oviposited, but no eggs hatched. In contrast, among 115 replications of L. trifolii females and L. sativae males tested, females of 47 replications (40.9%) oviposited and progeny from 10 replications (8.7%) developed to adult eclosion. The hybrid offspring were obtained only when several L. trifolii females and several L. sativae males were placed together. The hatchability, Pupation rate, and adult emergence rate of hybrid flies were 14.9%, 94.9%, and 61.8%, respectively. All the hybrid adults were female (n = 127). When these females were backcrossed with males of either species, none oviposited. The mean adult longevity of a hybrid female was 19.2 d.	Kyoto Prefectural Agr Res Inst, Kameoka, Kyoto 6210806, Japan; Kyoto Prefectural Univ, Grad Sch Agr, Lab Appl Entomol, Kyoto 6068522, Japan		Tokumaru, S (corresponding author), Kyoto Prefectural Agr Res Inst, Kameoka, Kyoto 6210806, Japan.	smaru@d2.dion.ne.jp						18	10	16	2	3	SPRINGER JAPAN KK	TOKYO	SHIROYAMA TRUST TOWER 5F, 4-3-1 TORANOMON, MINATO-KU, TOKYO, 105-6005, JAPAN	0003-6862	1347-605X		APPL ENTOMOL ZOOL	Appl. Entomol. Zoolog.	NOV	2005	40	4					551	555		10.1303/aez.2005.551			5	Entomology	Science Citation Index Expanded (SCI-EXPANDED)	Entomology	002AS	WOS:000234584400002		Bronze			2022-03-29	
J	Gooding, RH				Gooding, RH			Genetics of hybridization of Glossina swynnertoni with Glossina morsitans morsitans and Glossina morsitans centralis	MEDICAL AND VETERINARY ENTOMOLOGY			English	Article						Glossina swynnertoni; Glossina morsitans morsitans; Glossina morsitans centralis; hybridization; hybrid sterility; Diptera; Glossinidae	TSETSE-FLIES; DIPTERA; STERILITY; CROSSES; HYBRIDS; SUBMORSITANS	Reciprocal crosses were performed with Glossina swynnertoni and Glossina morsitans morsitans and with G.swynnertoni and Glossina morsitans centralis, using strains that carried marker genes in all three linkage groups. Glossina swynnertoni males can inseminate, but not fertilize, G.m.morsitans; all other crosses produced some fertile females. Hybridization did not cause sex ratio distortion among F-1 flies. Most F-1 and backcross females were fertile, but all F-1 males were sterile. Sterility among backcross males was also high (99% in Bx(1), 85% in Bx(2), and about 50% in Bx(3) to Bx(6)). Chromosome transmission by hybrid females usually conformed to Mendelian expectations, but genetic recombination was lower than observed in G.m. morsitans. The reduction in fertility among backcross females was not associated with heterozygosity in any linkage group. Sterility among hybrid and backcross males was associated with heterozygosity of sex chromosomes and probably autosomes. The results support the systematic placement of G. swynnertoni closer to G.m. centralis than to G. m.morsitans.	Univ Alberta, Dept Biol Sci, Edmonton, AB T6G 2E9, Canada		Gooding, RH (corresponding author), Univ Alberta, Dept Biol Sci, Edmonton, AB T6G 2E9, Canada.		Gooding, Ronald/A-2645-2014	Gooding, Ronald/0000-0001-8530-9426				26	7	7	0	1	BLACKWELL SCIENCE LTD	OXFORD	P O BOX 88, OSNEY MEAD, OXFORD OX2 0NE, OXON, ENGLAND	0269-283X			MED VET ENTOMOL	Med. Vet. Entomol.	OCT	1997	11	4					373	382		10.1111/j.1365-2915.1997.tb00425.x			10	Entomology; Veterinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Entomology; Veterinary Sciences	YN412	WOS:000071166100013	9430118				2022-03-29	
J	Deitz, KC; Takken, W; Slotman, MA				Deitz, Kevin C.; Takken, Willem; Slotman, Michel A.			The Effect of Hybridization on Dosage Compensation in Member Species of the Anopheles gambiae Species Complex	GENOME BIOLOGY AND EVOLUTION			English	Article						Anopheles; dosage compensation; hybridization; RNAseq	DROSOPHILA SEX DETERMINATION; X-CHROMOSOME; Y-CHROMOSOME; RNA-SEQ; POSITIVE SELECTION; GENE-EXPRESSION; LETHAL COMPLEX; EVOLUTION; MOSQUITOS; SEQUENCE	Dosage compensation has evolved in concert with Y-chromosome degeneration in many taxa that exhibit heterogametic sex chromosomes. Dosage compensation overcomes the biological challenge of a "half dose" of X chromosome gene transcripts in the heterogametic sex. The need to equalize gene expression of a hemizygous X with that of autosomes arises from the fact that the X chromosomes retain hundreds of functional genes that are actively transcribed in both sexes and interact with genes expressed on the autosomes. Sex determination and heterogametic sex chromosomes have evolved multiple times in Diptera, and in each case the genetic control of dosage compensation is tightly linked to sex determination. In the Anopheles gambiae species complex (Culicidae), maleness is conferred by the Y-chromosome gene Yob, which despite its conserved role between species is polymorphic in its copy number between them. Previous work demonstrated that male An. gambiae s.s. males exhibit complete dosage compensation in pupal and adult stages. In the present study, we have extended this analysis to three sister species in the An. gambiae complex: An. coluzzii, An. arabiensis, and An. quadriannulatus. In addition, we analyzed dosage compensation in bi-directional F1 hybrids between these species to determine if hybridization results in the mis-regulation and disruption of dosage compensation. Our results confirm that dosage compensation operates in the An. gambiae species complex through the hypertranscription of the male X chromosome. Additionally, dosage compensation in hybrid males does not differ from parental males, indicating that hybridization does not result in the mis-regulation of dosage compensation.	[Deitz, Kevin C.; Slotman, Michel A.] Texas A&M Univ, Dept Entomol, College Stn, TX 77843 USA; [Takken, Willem] Wageningen Univ, Dept Plant Sci, Lab Entomol, Wageningen, Netherlands; [Deitz, Kevin C.] Princeton Univ, Dept Ecol & Evolutionary Biol, Princeton, NJ 08544 USA; [Deitz, Kevin C.] Princeton Univ, Lewis Sigler Inst Integrat Genom, Princeton, NJ 08544 USA		Deitz, KC (corresponding author), Texas A&M Univ, Dept Entomol, College Stn, TX 77843 USA.; Deitz, KC (corresponding author), Princeton Univ, Dept Ecol & Evolutionary Biol, Princeton, NJ 08544 USA.; Deitz, KC (corresponding author), Princeton Univ, Lewis Sigler Inst Integrat Genom, Princeton, NJ 08544 USA.	kdeitz@princeton.edu	Deitz, Kevin/ABE-2077-2021	Deitz, Kevin/0000-0002-1358-7934	National Science FoundationNational Science Foundation (NSF) [1601675]; Texas A&M University Genomics Seed Grant	This study was funded by a National Science Foundation Doctoral Dissertation Improvement Grant (award # 1601675) to K.C. Deitz and M.A. Slotman and a Texas A&M University Genomics Seed Grant to K.C. Deitz and M.A. Slotman.		56	5	5	1	3	OXFORD UNIV PRESS	OXFORD	GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND	1759-6653			GENOME BIOL EVOL	Genome Biol. Evol.	JUL	2018	10	7					1663	1672		10.1093/gbe/evy108			10	Evolutionary Biology; Genetics & Heredity	Science Citation Index Expanded (SCI-EXPANDED)	Evolutionary Biology; Genetics & Heredity	GR2FE	WOS:000442378100004	29860336	gold, Green Submitted, Green Published			2022-03-29	
J	Velten, RK; Mullens, BA				Velten, RK; Mullens, BA			Field morphological variation and laboratory hybridization of Culicoides variipennis sonorensis and C v occidentalis (Diptera: Ceratopogonidae) in southern California	JOURNAL OF MEDICAL ENTOMOLOGY			English	Article						Culicoides variipennis occidentalis; Culicoides variipennis sonorensis; bluetongue; hybridization; character variation; Diptera	BLUETONGUE VIRUS; GENETIC-VARIATION; POPULATIONS; VECTOR; SIZE	Two field populations of Culicoides variipennis (Coquillett) from southern California, C. v. occidentalis Wirth & Jones from the Salton Sea and C. v. sonorensis Wirth & Jones from a dairy wastewater pond in the Chino Basin, were sampled monthly from February to July (6-7 mo). Morphometric analyses of slide-mounted adults reared from field-collected larvae and pupae indicated that females of the 2 forms were indistinguishable. Two of the standard characters, vying length and mandibular teeth, were correlated with seasonal temperature changes. Males of C. v. sonorensis were distinguishable by the presence of spicules on the aedeagus, which were entirely lacking in C. v. occidentalis. Two populations of C. v. occidentalis (Salton Sea and Bolsa Chica Marsh) and a laboratory strain of C. v. sonorensis hybridized successfully in the laboratory and were maintained for 6 generations. Differential hybrid viability (F-1) was observed in reciprocal crosses. Males of C. v. occidentalis mated with females of C. v. sonorensis resulted in a lower egg hatch (7.4%) than did the reciprocal cross (75.6%). Hybrid males displayed spicules on the aedeagus (a character of C. v. sonorensis), but the number of spicules was sometimes reduced compared with parental C. v. sonorensis (AA strain). Spicules in a field population of C. v. sonorensis were similar in number to the laboratory C. v. sonorensis-C. v. occidentalis hybrids. Based on successful hybridization, the 2 forms should be considered closely related. The 2 forms are separated ecologically by the nature and distribution of their larval habitats.			Velten, RK (corresponding author), UNIV CALIF RIVERSIDE,DEPT ENTOMOL,RIVERSIDE,CA 92521, USA.							17	9	9	0	2	ENTOMOL SOC AMER	LANHAM	9301 ANNAPOLIS RD, LANHAM, MD 20706	0022-2585			J MED ENTOMOL	J. Med. Entomol.	MAY	1997	34	3					277	284		10.1093/jmedent/34.3.277			8	Entomology; Veterinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Entomology; Veterinary Sciences	WY576	WOS:A1997WY57600005	9151490				2022-03-29	
