PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Beresford, J; Elias, M; Pluckrose, L; Sundstrom, L; Butlin, RK; Pamilo, P; Kulmuni, J				Beresford, J.; Elias, M.; Pluckrose, L.; Sundstrom, L.; Butlin, R. K.; Pamilo, P.; Kulmuni, J.			Widespread hybridization within mound-building wood ants in Southern Finland results in cytonuclear mismatches and potential for sex-specific hybrid breakdown	MOLECULAR ECOLOGY			English	Article						Formica rufa wood ants; heterosis; hybrid breakdown; hybridization; hymenoptera	MITOCHONDRIAL-DNA; MICROSATELLITE LOCI; MATE CHOICE; HYMENOPTERA; SPECIATION; INTROGRESSION; FORMICIDAE; STERILITY; INFERENCE; SOFTWARE	Hybridization and gene flow between diverging lineages are increasingly recognized as common evolutionary processes, and their consequences can vary from hybrid breakdown to adaptive introgression. We have previously found a population of wood ant hybrids between Formica aquilonia and F. polyctena that shows antagonistic effects of hybridization: females with introgressed alleles show hybrid vigour, whereas males with the same alleles show hybrid breakdown. Here, we investigate whether hybridization is a general phenomenon in this species pair and analyse 647 worker samples from 16 localities in Finland using microsatellite markers and a 1200-bp mitochondrial sequence. Our results show that 27 sampled nests contained parental-like gene pools (six putative F. polyctena and 21 putative F. aquilonia) and all remaining nests (69), from nine localities, contained hybrids of varying degrees. Patterns of genetic variation suggest these hybrids arise from everal hybridization events or, instead, have backcrossed to the parental gene pools to varying extents. In contrast to expectations, the mitochondrial haplotypes of the parental species were not randomly distributed among the hybrids. Instead, nests that were closer to parental-like F. aquilonia for nuclear markers preferentially had F. polyctena's mitochondria and vice versa. This systematic pattern suggests there may be underlying selection favouring cytonuclear mismatch and hybridization. We also found a new hybrid locality with strong genetic differences between the sexes similar to those predicted under antagonistic selection on male and female hybrids. Further studies are needed to determine the selective forces that act on male and female genomes in these newly discovered hybrids.	[Beresford, J.; Sundstrom, L.; Pamilo, P.; Kulmuni, J.] Univ Helsinki, Ctr Excellence Biol Interact, Dept Biosci, Helsinki, Finland; [Beresford, J.; Pluckrose, L.; Butlin, R. K.; Kulmuni, J.] Univ Sheffield, Dept Anim & Plant Sci, Sheffield, S Yorkshire, England; [Elias, M.] Sorbonne Univ, UPMC, CNRS,MNHN,EPHE, Inst Systemat Evolut Biodiversite ISYEB,UMR 7205, Paris, France; [Sundstrom, L.; Kulmuni, J.] Univ Helsinki, Tvarminne Zool Stn, Hango, Finland; [Butlin, R. K.] Univ Gothenburg, Dept Marine Sci, Gothenburg, Sweden; [Kulmuni, J.] Univ Oulu, Dept Biol, Oulu, Finland; [Kulmuni, J.] Univ Oulu, Bioctr, Oulu, Finland		Kulmuni, J (corresponding author), Univ Helsinki, Dept Biosci, Helsinki, Finland.	jonna.kulmuni@helsinki.fi	Sundstrom, Liselotte/G-5080-2010; Butlin, Roger K/F-7709-2013	Sundstrom, Liselotte/0000-0002-6176-8940; Butlin, Roger K/0000-0003-4736-0954; Beresford, Jack/0000-0002-2000-6085; Kulmuni, Jonna/0000-0002-8852-0793	Suomen AkatemiaAcademy of Finland; Human Frontiers Science program, Europe; Finnish foundations post doc pool, Finland; Suomen KulttuurirahastoFinnish Cultural Foundation	Suomen Akatemia; Human Frontiers Science program, Europe; Finnish foundations post doc pool, Finland; Suomen Kulttuurirahasto		82	14	14	0	30	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0962-1083	1365-294X		MOL ECOL	Mol. Ecol.	AUG	2017	26	15					4013	4026		10.1111/mec.14183			14	Biochemistry & Molecular Biology; Ecology; Evolutionary Biology	Science Citation Index Expanded (SCI-EXPANDED)	Biochemistry & Molecular Biology; Environmental Sciences & Ecology; Evolutionary Biology	FB8AM	WOS:000406361200014	28503905	Green Accepted			2022-03-29	
J	Kulmuni, J; Seifert, B; Pamilo, P				Kulmuni, Jonna; Seifert, Bernhard; Pamilo, Pekka			Segregation distortion causes large-scale differences between male and female genomes in hybrid ants	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA			English	Article						Haldane's rule; hybrid speciation; hybridization; Hymenoptera; sex-specific allele transmission	FORMICA-LUGUBRIS; MICROSATELLITE LOCI; INSECT SOCIETIES; HARVESTER ANTS; SPECIATION; GENETICS; HYBRIDIZATION; HYMENOPTERA; POPULATIONS; DROSOPHILA	Hybridization in isolated populations can lead either to hybrid breakdown and extinction or in some cases to speciation. The basis of hybrid breakdown lies in genetic incompatibilities between diverged genomes. In social Hymenoptera, the consequences of hybridization can differ from those in other animals because of haplodiploidy and sociality. Selection pressures differ between sexes because males are haploid and females are diploid. Furthermore, sociality and group living may allow survival of hybrid genotypes. We show that hybridization in Formica ants has resulted in a stable situation in which the males form two highly divergent gene pools whereas all the females are hybrids. This causes an exceptional situation with large-scale differences between male and female genomes. The genotype differences indicate strong transmission ratio distortion depending on offspring sex, whereby the mother transmits some alleles exclusively to her daughters and other alleles exclusively to her sons. The genetic differences between the sexes and the apparent lack of multilocus hybrid genotypes in males can be explained by recessive incompatibilities which cause the elimination of hybrid males because of their haploid genome. Alternatively, differentiation between sexes could be created by prezygotic segregation into male-forming and female-forming gametes in diploid females. Differentiation between sexes is stable and maintained throughout generations. The present study shows a unique outcome of hybridization and demonstrates that hybridization has the potential of generating evolutionary novelties in animals.	[Kulmuni, Jonna] Univ Oulu, Dept Biol, Oulu 90014, Finland; [Kulmuni, Jonna] Univ Oulu, Bioctr Oulu, Oulu 90014, Finland; [Seifert, Bernhard] Senckenberg Museum Nat Hist, D-02826 Gorlitz, Germany; [Pamilo, Pekka] Univ Helsinki, Dept Biol & Environm Sci, FIN-00014 Helsinki, Finland		Kulmuni, J (corresponding author), Univ Oulu, Dept Biol, Oulu 90014, Finland.	jonna.kulmuni@oulu.fi	Pamilo, Pekka/C-6907-2011	Kulmuni, Jonna/0000-0002-8852-0793	Finnish Graduate School of Population Genetics; Biocenter Oulu; Academy of FinlandAcademy of Finland [122210]	We thank R. Jokela for technical assistance and L. Sundstrom and the reviewers for valuable comments on an earlier version of the manuscript. Financial support was provided by the Finnish Graduate School of Population Genetics (J.K.), Biocenter Oulu (J.K.), and Academy of Finland Grant 122210 (to P.P.).		36	44	50	0	19	NATL ACAD SCIENCES	WASHINGTON	2101 CONSTITUTION AVE NW, WASHINGTON, DC 20418 USA	0027-8424			P NATL ACAD SCI USA	Proc. Natl. Acad. Sci. U. S. A.	APR 20	2010	107	16					7371	7376		10.1073/pnas.0912409107			6	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	586FU	WOS:000276892300049	20368452	Green Published, Bronze			2022-03-29	
J	Bertin, A; Pavinato, VAC; Parra, JRP				Bertin, Aline; Correa Pavinato, Vitor Antonio; Postali Parra, Jose Roberto			Effects of intraspecific hybridization on the fitness of the egg parasitoid Trichogramma galloi	BIOCONTROL			English	Article						Intraspecific hybridization; Heterosis; Fitness; Biological control; Hymenoptera; Trichogrammatidae	BIOLOGICAL-CONTROL; INBREEDING DEPRESSION; SEXUAL SELECTION; HYBRID VIGOR; POPULATIONS; CONSERVATION; HYMENOPTERA; ADAPTATION; HETEROSIS; GENETICS	Successive rearing in laboratory conditions can result in the loss of genetic diversity, inbreeding depression and adaptation to the captive environment, affecting the quality of the insects reared and compromising their field performance. Introduction of genetic variation by admixing different populations may increase the fitness of populations, minimizing the negative effects of rearing many generations in artificial conditions. We experimentally investigated the role of intraspecific hybridization in enhancing the fitness of the egg parasitoid Trichogramma galloi Zucchi, 1988 (Hymenoptera: Trichogrammatidae), by reciprocally crossing three populations. Our results showed that the mating type did not affect the number of crosses that produced viable daughters. Homotypic crosses produced 94% viable daughters, while heterotypic crosses produced 92%. There were neither mating incompatibilities nor reproductive barriers between these populations. However, we observed a low fitness value for females from one of the populations studied. The fitness of hybrids was either unchanged or improved (in one case) when compared to the parental populations. We discuss the implications of our results and suggest future research directions.	[Bertin, Aline; Postali Parra, Jose Roberto] Univ Sao Paulo, Dept Entomol & Acarol, Ave Padua Dias 11,CP 9, BR-13418900 Piracicaba, SP, Brazil; [Correa Pavinato, Vitor Antonio] Ohio State Univ, Ohio Agr Res & Dev Ctr, Dept Entomol, 1680 Madison Ave, Wooster, OH 44691 USA; [Correa Pavinato, Vitor Antonio] INRA, CBGP, 755 Ave Campus Agropolis,CS 30016, F-34988 Montferrier Sur Lez, France; [Bertin, Aline] Univ Sao Paulo, ESALQ, Dept Entomol & Acarol, Ave Padua Dias 11,CP 9, BR-13418900 Piracicaba, SP, Brazil		Bertin, A (corresponding author), Univ Sao Paulo, ESALQ, Dept Entomol & Acarol, Ave Padua Dias 11,CP 9, BR-13418900 Piracicaba, SP, Brazil.	aline.bertin@usp.br; vitor.pavi@gmail.com; jrpparra@usp.br	Pavinato, Vitor Antonio Corrêa/D-6576-2011; Parra, José Roberto Postali/D-9282-2012; Parra, José Roberto Postali/AAW-6487-2020	Pavinato, Vitor Antonio Corrêa/0000-0003-2483-1207; Parra, José Roberto Postali/0000-0002-2393-8267; Bertin, Aline/0000-0003-4232-4241	National Institute of Semiochemicals in Agriculture [CNPq 573761/2008-6, FAPESP 2008/57701-2]	This study was funded by the National Institute of Semiochemicals in Agriculture (Process nos. CNPq 573761/2008-6 and FAPESP 2008/57701-2).		41	4	4	2	25	SPRINGER	DORDRECHT	VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS	1386-6141	1573-8248		BIOCONTROL	Biocontrol	AUG	2018	63	4					555	563		10.1007/s10526-018-9883-7			9	Entomology	Science Citation Index Expanded (SCI-EXPANDED)	Entomology	GL4LA	WOS:000437121600008					2022-03-29	
J	Yara, K; Sasawaki, T; Kunimi, Y				Yara, Kaori; Sasawaki, Terunori; Kunimi, Yasuhisa			Hybridization between introduced Torymus sinensis (Hymenoptera: Torymidae) and indigenous T-beneficus (late-spring strain), parasitoids of the Asian chestnut gall wasp Dryocosmus kuriphilus (Hymenoptera: Cynipidae)	BIOLOGICAL CONTROL			English	Article						Torymus sinensis; Torymus beneficus; Hybridization; rDNA internal transcribed spacer 1 (ITS1); Classical biological control; Nontarget effect; Displacement; Dryocosmus kuriphilus	KAMIJO HYMENOPTERA; YASUMATSU HYMENOPTERA; TRICHOGRAMMA-MINUTUM; REPRODUCTIVE COMPATIBILITY; COMPLEX HYMENOPTERA; HYBRIDS; DISCRIMINATION; REGIONS	Hybridization between introduced biological control agents and native species is a nontarget effect of biological control. However, the genetic impacts related to introduced insects, especially from the viewpoint of post-release evaluation, remain largely unexplored. Torymus sinensis (Hymenoptera: Torymidae) is a parasitoid wasp introduced from China into Japan to control the invasive Asian chestnut gall wasp Dryocosmus kuriphilus (Hymenoptera: Cynipidae). After T. sinensis was first released in 1982, the damage caused by D. kuriphilus fell greatly. Previous studies showed that hybridization between T. sinensis and indigenous Torymus beneficus (the early-spring strain) was rare in the field, but individuals morphologically intermediate between T. sinensis and T. beneficus then appeared in the field. Here, we examined the frequency of hybridization between T. sinensis and the late-spring strain of T. beneficus by using the internal transcribed spacer 1 (ITS1) region of nuclear rDNA. Increasing numbers of F-1 hybrids were detected every year from 1993 to 1996, reaching 22%. It seems that T. sinensis can hybridize more easily with the late-spring strain of T. beneficus. Morphological indices of the F-1 hybrid type ranged between indices of the late-spring strain of T. beneficus and T. sinensis, with considerable overlap. Simultaneous with the occurrence of the F-1 hybrids, the indigenous late-spring strain of T. beneficus was rapidly displaced by T. sinensis. (C) 2010 Elsevier Inc. All rights reserved.	[Yara, Kaori] Natl Inst Agroenvironm Sci, Biodivers Div, Tsukuba, Ibaraki 3058604, Japan; [Sasawaki, Terunori] Nagano Fruit Tree Expt Stn, Nagano 3820072, Japan; [Kunimi, Yasuhisa] Tokyo Univ Agr & Technol, Grad Sch Agr, Dept Bioregulat & Biointeract, Fuchu, Tokyo 1838509, Japan		Yara, K (corresponding author), Natl Agr Res Ctr, Insect Pest Management Res Team, Tsukuba, Ibaraki 3058666, Japan.	yara@affrc.go.jp	Kunimi, Yasuhisa/C-8350-2013		Japan Society for the Promotion of ScienceMinistry of Education, Culture, Sports, Science and Technology, Japan (MEXT)Japan Society for the Promotion of Science [19380037]	We wish to express our gratitude to Drs. A. Mochizuki (National Institute for Agro-Environmental Sciences) and T. Shimoda (National Agricultural Research Center) for helpful comments and suggestions on the draft. We are indebted to Dr. E. Yano (Kinki University) for providing us with samples. We appreciate the two anonymous reviewers' comments that improved this paper immensely. This research was supported in part by a Grant-in-Aid for Scientific Research (No. 19380037) from the Japan Society for the Promotion of Science.		35	26	26	0	30	ACADEMIC PRESS INC ELSEVIER SCIENCE	SAN DIEGO	525 B ST, STE 1900, SAN DIEGO, CA 92101-4495 USA	1049-9644	1090-2112		BIOL CONTROL	Biol. Control	JUL	2010	54	1					14	18		10.1016/j.biocontrol.2010.03.006			5	Biotechnology & Applied Microbiology; Entomology	Science Citation Index Expanded (SCI-EXPANDED)	Biotechnology & Applied Microbiology; Entomology	591ZT	WOS:000277344800003					2022-03-29	
J	Marques, I; Rossello-Graell, A; Draper, D; Iriondo, JM				Marques, Isabel; Rossello-Graell, Antonia; Draper, David; Iriondo, Jose M.			Pollination patterns limit hybridization between two sympatric species of Narcissus (Amaryllidaceae)	AMERICAN JOURNAL OF BOTANY			English	Article						Amaryllidaceae; breeding system; conservation biology; flowering phenology; hybridization; Narcissus cavanillesii; Narcissus serotinus; pollination ecology	REPRODUCTIVE-BIOLOGY; POTENTIAL HYBRIDIZATION; CONSERVATION; RARE; EXTINCTION; HYBRIDS; EVOLUTION; ECOLOGY; SYSTEMS; SUCCESS	Natural hybrids between rare and common sympatric species are commonly eradicated to avoid the potential extinction of the rare species, although there is currently no clear predictive framework to quantify this risk. As hybrids can have intrinsic value as new evolutionary pathways, further knowledge on the factors controlling hybridization is needed. In this study we evaluated the role of pollination patterns in hybridization events in two sympatric populations of Narcissus cavanillesii and N. serotinus in Portugal. Narcissus cavanillesii is a rare species, while N. serotinus is widely distributed across the Mediterranean. The hybrid, N. Xperezlarae, is quite frequent in southeastern Spain but is scarce in Portugal. Reciprocal manual crossings confirmed compatibility between the two species, although hybridization was more successful when N. cavanillesii participated as female. Narcissus cavanillesii and N. serotinus only shared one pollinator, Megachile sp. (Hymenoptera), which had low visitation rates and high flower constancy. No single isolation mechanism was fully effective in preventing hybridization. Temporal displacement of flowering peaks, strong pollinator specificity, and high flower constancy in the shared pollinator all contributed to limiting hybridization in this site. In other sympatric occurrences, different phenological windows and pollination assemblages may allow greater frequency of the hybrid.	Univ Lisbon, Museu Nacl Hist Nat, Jardim Bot, P-1269102 Lisbon, Portugal; Univ Rey Juan Carlos, ESCET, Area Biodiversidad & Conservac, Madrid 28933, Spain		Marques, I (corresponding author), Univ Lisbon, Museu Nacl Hist Nat, Jardim Bot, Rua Escola Politecn 58, P-1269102 Lisbon, Portugal.	icmarques@fc.ul.pt	Marques, Isabel/G-6773-2015; Iriondo, Jose M/B-3112-2008; Munt, David Draper/A-6902-2017	Marques, Isabel/0000-0001-9788-4831; Iriondo, Jose M/0000-0003-2710-3889; Munt, David Draper/0000-0001-7807-3574				62	46	50	1	34	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0002-9122	1537-2197		AM J BOT	Am. J. Bot.	AUG	2007	94	8					1352	1359		10.3732/ajb.94.8.1352			8	Plant Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Plant Sciences	215TC	WOS:000249830900011	21636503	Bronze			2022-03-29	
J	Steiner, FM; Seifert, B; Grasso, DA; Le Moli, F; Arthofer, W; Stauffer, C; Crozier, RH; Schlick-Steiner, BC				Steiner, Florian M.; Seifert, Bernhard; Grasso, Donato A.; Le Moli, Francesco; Arthofer, Wolfgang; Stauffer, Christian; Crozier, Ross H.; Schlick-Steiner, Birgit C.			Mixed colonies and hybridisation of Messor harvester ant species (Hymenoptera: Formicidae)	ORGANISMS DIVERSITY & EVOLUTION			English	Article						Hybridisation; Bidirectional interspecific gene flow; Non-sister species; Inference key	TRANSMISSION RATIO DISTORTION; SLAVE-MAKING ANT; HYBRID SPECIATION; MITOCHONDRIAL PSEUDOGENES; SOCIAL PARASITISM; FORAGING ACTIVITY; CENTRAL-EUROPE; EVOLUTION; BOOTSTRAP; LASIUS	The Mediterranean harvester ant species Messor minor, M. cf. wasmanni, and M. capitatus can co-occur in the same habitat. In Italian populations, we encountered colonies that contained workers from more than one species as identified via standard morphology, as well as colonies with workers that appeared to be morphologically intermediate between species. This unusual finding required further analysis. We analysed such colonies using microsatellites, mitochondrial DNA and refined morphometrics, and a simple inference key for the colony-level interpretation of data from the three sources combined. We infer that Messor minor and M. cf. wasmanni engage in bidirectional interspecific gene flow. Hybrids between these two species are inferred to produce fertile offspring, which would indicate that barriers to hybridisation do not exist or can be completely overcome. This is unexpected, given that they are non-sister species and broadly sympatric in nature. Our findings also indicate the possible occurrence of hybrid-hybrid crosses, a phenomenon rarely observed in ants. We cautiously interpret the data at hand as in support of the interspecific gene flow considerably shaping the genetic makeup of populations, raising the question about a potential adaptive value of this hybridisation. Messor capitatus mixes with hybrids of the other two species, but we found no indication of hybridisation involving this species. We discuss various hypotheses on the causations of colony mixing and hybridisation in the three Messor species at the proximate and ultimate level.	[Steiner, Florian M.; Arthofer, Wolfgang; Schlick-Steiner, Birgit C.] Univ Innsbruck, Inst Ecol, Mol Ecol Grp, A-6020 Innsbruck, Austria; [Seifert, Bernhard] Senckenberg Museum Nat Hist, D-02806 Gorlitz, Germany; [Grasso, Donato A.; Le Moli, Francesco] Univ Parma, Dept Evolutionary & Funct Biol, I-43100 Parma, Italy; [Stauffer, Christian] Univ Nat Resources & Life Sci, Inst Forest Entomol Forest Pathol & Forest Protec, A-1190 Vienna, Austria; [Crozier, Ross H.] James Cook Univ, Sch Marine & Trop Biol, Townsville, Qld 4811, Australia		Schlick-Steiner, BC (corresponding author), Univ Innsbruck, Inst Ecol, Mol Ecol Grp, A-6020 Innsbruck, Austria.	Birgit.Schlick-Steiner@uibk.ac.at	Grasso, Donato A/I-4505-2012	Grasso, Donato A/0000-0001-9334-4280; Schlick-Steiner, Birgit/0000-0003-4026-5778	Australian Research CouncilAustralian Research Council [DP0665890]; Austrian Science FundAustrian Science Fund (FWF) [J2639-B17, J2642-B17]	Francesco Le Moli, doyen of research on the behavioural ecology of ants, passed away when the manuscript was at an early stage. Ross H. Crozier, pioneer of sociobiology in both theoretical and empirical genetic analysis, passed away when the manuscript was at the stage of revision. The remaining authors gratefully dedicate this paper to their memory. We thank Katsusuke Yamauchi for sharing unpublished data, Sandor Csosz, Heino Konrad, Susanne Krumbock, Karl Moder, Fabrizio Rigato, Andrea Stradner and Phil S. Ward for multiple support, and Michael Stachowitsch for a linguistic revision of the manuscript. Four anonymous referees and Editor-in-Chief Olaf R. P. Bininda-Emonds provided important input. RHC was supported by the Australian Research Council (DP0665890); BCS and FMS were supported by the Austrian Science Fund (J2639-B17,J2642-B17).		95	23	26	0	19	SPRINGER HEIDELBERG	HEIDELBERG	TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY	1439-6092	1618-1077		ORG DIVERS EVOL	Org. Divers. Evol.	JUN	2011	11	2					107	134		10.1007/s13127-011-0045-3			28	Evolutionary Biology; Zoology	Science Citation Index Expanded (SCI-EXPANDED)	Evolutionary Biology; Zoology	769CS	WOS:000290987300002					2022-03-29	
J	Umphrey, GJ; Danzmann, RG				Umphrey, GJ; Danzmann, RG			Electrophoretic evidence for hybridization in the ant genus Acanthomyops (Hymenoptera : Formicidae)	BIOCHEMICAL SYSTEMATICS AND ECOLOGY			English	Article						Acanthomyops; ants; Formicidae; interspecific hybridization; enzyme electrophoresis; cellulose acetate		Enzyme electrophoresis on a GPI locus was used to provide the first genetic tests of the hypotheses that hybridization occurs between the ant species Acanthomyops latipes and A. claviger, that the hybrids are F-1's, and that the hybrids result from a latipes queen mating with a claviger male. A difference in GPI allele frequencies (fixed in latipes, polymorphic but strongly skewed to an alternate allele in claviger) was used to test five predictions that arise from these hypotheses. Test results were consistent with all components of these hypotheses, with the possible exception of a reciprocal cross in one colony. No evidence of backcrossing was found. We believe that two alternative hypotheses to explain the existence of morphologically intermediate queens can be rejected: the hypothesis that latipes produces dimorphic queens, and the hypothesis that colonies producing the morphologically intermediate queens represent a separate species. The pattern of hybridization, with F-1 hybrids commonly occurring throughout the broad range of sympatry of the parent species, contrasts sharply with most "hybrid zone" phenomena. (C) 1998 Elsevier Science Ltd. All rights reserved.	Univ Western Ontario, Dept Zool, London, ON N6A 5B7, Canada; Univ Guelph, Dept Zool, Guelph, ON N1G 2W1, Canada		Umphrey, GJ (corresponding author), Univ Western Ontario, Dept Zool, London, ON N6A 5B7, Canada.							15	17	17	0	2	PERGAMON-ELSEVIER SCIENCE LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND	0305-1978			BIOCHEM SYST ECOL	Biochem. Syst. Ecol.	JUN	1998	26	4					431	440		10.1016/S0305-1978(97)00124-5			10	Biochemistry & Molecular Biology; Ecology; Evolutionary Biology	Science Citation Index Expanded (SCI-EXPANDED)	Biochemistry & Molecular Biology; Environmental Sciences & Ecology; Evolutionary Biology	ZW445	WOS:000074411700005					2022-03-29	
J	Seifert, B				Seifert, B.			Hybridization in the European carpenter ants Camponotus herculeanus and C. ligniperda (Hymenoptera: Formicidae)	INSECTES SOCIAUX			English	Article						Sister species; Hybridization; Allometry; Numeric taxonomy; Reproductive barrier	FIRE ANTS	The first case of hybridization between the large European carpenter ants Camponotus herculeanus (Linnaeus 1758) and C. ligniperda (Latreille 1802) is demonstrated by means of exploratory and hypothesis-driven data analyses of standardized phenotypic characters. The strong signal separating the parental species allows the identification of hybrid workers on the individual level, based on only seven characters. The frequency of hybridization between the two species is estimated for Central Europe as 0.2-1.0%. This low ratio indicates strong reproductive barriers considering syntopic occurrence at about 10% of the observation sites, a nearly complete overlap of swarming times and basically equal meteorological conditions to release swarming. The presented case increases the known ratio of hybridizing species within the 178 ant species of Central Europe to 19.1%. This figure dramatically contrasts the known hybridization ratio of 0.55% within an estimated number of 2000 ant species from the Holarctic outside Central Europe. This 30-fold lower discovery rate of hybrids may be explained by the predominance of idiosyncratic species delimitation methods in morphology-based taxonomy in combination with the psychology of human decision-making. A neotype of Camponotus ligniperda is fixed in a specimen from the terra typica and comments on the Latin naming are given.	[Seifert, B.] Senckenberg Museum Nat Hist Gorlitz, Gorlitz, Germany		Seifert, B (corresponding author), Senckenberg Museum Nat Hist Gorlitz, Gorlitz, Germany.	bernhard.seifert@senckenberg.de						35	5	8	0	6	SPRINGER BASEL AG	BASEL	PICASSOPLATZ 4, BASEL, 4052, SWITZERLAND	0020-1812	1420-9098		INSECT SOC	Insect. Soc.	AUG	2019	66	3					365	374		10.1007/s00040-019-00693-0			10	Entomology	Science Citation Index Expanded (SCI-EXPANDED)	Entomology	IH3IE	WOS:000474385700005					2022-03-29	
J	Umphrey, GJ				Umphrey, Gary J.			Sperm parasitism in ants: Selection for interspecific mating and hybridization	ECOLOGY			English	Review						Acanthomyops; ants; cleptogamy; dispersal polymorphism; hybridization; hybridogenesis; Lasius; mating strategies; mixed ESS; sperm parasitism	GENETIC CASTE DETERMINATION; SEX-INVESTMENT RATIOS; LASIUS-NIGER; CHEMICAL COMMUNICATION; REPRODUCTIVE ISOLATION; NATURAL HYBRIDIZATION; HARVESTER ANTS; FIRE ANT; HYBRID; HYMENOPTERA	Interspecific mating in eusocial Hymenoptera can be favored under certain conditions even if all hybrid offspring are completely infertile. This exploits two key features of the eusocial Hymenoptera: a haplodiploid genetic system and reproductive division of labor in females. Interspecifically mated queens can still produce viable sons that will mate intraspecifically. Apparent reduced fitness resulting from producing infertile daughter gynes can be also offset by advantages conferred by hybrid workers. An important advantage is likely to be superior ability at using marginal habitats. Interspecifically mated queens can nest in sites where intraspecific competition will be low. By mating interspecifically, a queen trades expected reproductive success through female offspring for a higher probability of achieving some reproductive success. Females that mate interspecifically can be considered "sperm parasites'' on the males of the other species. I provide evidence that sperm parasitism is responsible for widespread hybridization in North America among two species of the ant subgenus Acanthomyops (genus Lasius), and review evidence for sperm parasitism in other hybridization phenomena in ants. Sperm parasitism in ants represents a novel form of social parasitism in ants and a dispersal polymorphism. It may also act as a precursor to the evolution of some other recently discovered phenomena, such as genetic caste determination.	Univ Guelph, Dept Math & Stat, Guelph, ON N1G 2W1, Canada		Umphrey, GJ (corresponding author), Univ Guelph, Dept Math & Stat, Guelph, ON N1G 2W1, Canada.	umphrey@uoguelph.ca						102	36	36	0	15	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0012-9658	1939-9170		ECOLOGY	Ecology	SEP	2006	87	9					2148	2159		10.1890/0012-9658(2006)87[2148:SPIASF]2.0.CO;2			12	Ecology	Science Citation Index Expanded (SCI-EXPANDED)	Environmental Sciences & Ecology	080MW	WOS:000240253000003	16995614				2022-03-29	
J	Izawa, H; Osakabe, M; Moriya, S; Toda, S				Izawa, H; Osakabe, M; Moriya, S; Toda, S			Use of malic enzyme to detect hybrids between Torymus sinensis and T-beneficus (Hymenoptera: Torymidae) attacking Dryocosmus kuriphilus (Hymenoptera: cynipidae) and possibility of natural hybridization.	JAPANESE JOURNAL OF APPLIED ENTOMOLOGY AND ZOOLOGY			Japanese	Article						Torymus sinensis; Torymus beneficus; malic enzyme; hybridization; parasitoid	KAMIJO HYMENOPTERA; YASUMATSU	Hybrids between the early-season strain of Torymus beneficus and T. sinensis, in which the malic enzyme (ME) is fixed at the F and S alleles, respectively, can be discriminated from their parents by the enzyme banding pattern using PAG electrophoresis. The ME locus of hybrids between the late-season strains of T. beneficus and T. sinensis is fixed at the S allele. Females of Torymus spp. collected in the field at Tsukuba had various ratios of ovipositor sheath length to thorax length and three ME genotypes: SS, FS and FF. Detection of FS in this population indicates that natural hybridization occurs between early-season strains of T. beneficus and T. sinensis.			Izawa, H (corresponding author), TOTTORI HORT EXPT STN,DAIEI,TOTTORI 68922,JAPAN.		Osakabe, Masahiro/H-8587-2019	Osakabe, Masahiro/0000-0002-2246-3431				8	14	16	0	5	JAPAN SOC APPL ENTOMOL ZOOL	TOKYO	1-43-11 KOMAGOME TOSHIMA-KU, TOKYO 170, JAPAN	0021-4914			JPN J APPL ENTOMOL Z	Jpn. J. Appl. Entomol. Zool.	AUG	1996	40	3					205	208					4	Entomology	Science Citation Index Expanded (SCI-EXPANDED)	Entomology	VD657	WOS:A1996VD65700004		Bronze			2022-03-29	
