PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Birge, LM; Braswell, WE; Howard, DJ				Birge, Leanna M.; Braswell, W. Evan; Howard, Daniel J.			A component of isolation between Allonemobius shalontaki (Orthoptera : Gryllidae : Nemobiinae) and a sympatric congener	ANNALS OF THE ENTOMOLOGICAL SOCIETY OF AMERICA			English	Article						Allonemobius; temporal partitioning; sympatry; Orthoptera; hybridization	AMERICAN FIELD CRICKETS; IN-GROUND CRICKETS; SPECIATION; SONGS; CRYPTOCHROME; PREFERENCE; MECHANISM; EVOLUTION; SELECTION; BEHAVIOR	Allonemobius shalontaki (Braswell) (Orthoptera: Gryllidae: Nemobiinae), a newly recognized species, was described on the basis of novel electrophoretic alleles and a unique male calling song. However, little is known about the species and the factors that isolate it from co-occurring species of Allonemobius (Hebard). We use electrophoretic markers to document sympatry of A. shalontaki with its congener Allonemobius socius (Scudder) and to follow the life cycle of the two species at two sites. The results indicate that there are phenological differences between the species. To confirm the phenological differences quantified in the field, we study patterns of egg development and hatching in the laboratory. Together with laboratory hybridization studies, these result demonstrate that A. shalontaki and A. socius are strongly, but not completely, reproductively isolated.	Univ Maryland, Dept Biol, College Pk, MD 20742 USA; Univ British Columbia, Dept Bot, Vancouver, BC V6T 1Z4, Canada; New Mexico State Univ, Dept Biol, Las Cruces, NM 88003 USA		Birge, LM (corresponding author), Univ Maryland, Dept Biol, Bldg 144,Rm 1210, College Pk, MD 20742 USA.	lbirge@utnd.edu						35	1	1	0	5	OXFORD UNIV PRESS INC	CARY	JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA	0013-8746	1938-2901		ANN ENTOMOL SOC AM	Ann. Entomol. Soc. Am.	SEP	2007	100	5					721	728		10.1603/0013-8746(2007)100[721:ACOIBA]2.0.CO;2			8	Entomology	Science Citation Index Expanded (SCI-EXPANDED)	Entomology	207LO	WOS:000249252800013					2022-03-27	
J	Colombo, PC; Remis, MI				Colombo, PC; Remis, MI			On the origin of B-chromosomes: neo XY systems and X-like supernumeraries in Orthoptera	CARYOLOGIA			English	Article						B-chromosomes; neo XY systems; Orthoptera	DICHROPLUS-ELONGATUS ORTHOPTERA; GRASSHOPPER PODISMA-PEDESTRIS; DALMANI STAL ORTHOPTERA; CHIASMA FREQUENCY; CENTRIC FUSIONS; ACRIDIDAE; RECOMBINATION; SEX; POLYMORPHISMS; EVOLUTION	In previous diversification mechanisms of B-chromosomes were advanced, and conditions for their origin were summarized (GREEN 1990). In the present work, some examples of B-chromosomes in statu nascendi in grasshoppers with neo XY systems are cited, including two cases described in the present work (Sinipta dalmani and Leptysma sp.). It was earlier proposed that increased tolerance to supernumerary Xs due to dosage compensation could contribute to the common occurrence of X-like B-chromosomes within the Orthoptera. This seems to be more frequent among newly arisen neo XY systems, possibly due to X-nondisjunction in heterozygous or hybrid females. Mechanisms of differentiation of X-like Bs are further exemplified in Leptysema argentina and Cylindrotettix obscurus. It is also pointed out that small Bs could originate from polysomy of the smallest chromosomes, tolerated because of the few genes involved (exemplified in Cylindrotettix obscurus). Finally, the minute-B category is attributed to residual fragments from whole arm rearrangements, as in Sinipta dalmani, a species with a high frequency of spontaneous and polymorphic rearrangements.	Univ Buenos Aires, Fac Ciencias Exactas & Nat, Dept Ciencias Biol, Genet Lab, RA-1428 Buenos Aires, DF, Argentina		Colombo, PC (corresponding author), Univ Buenos Aires, Fac Ciencias Exactas & Nat, Dept Ciencias Biol, Genet Lab, RA-1428 Buenos Aires, DF, Argentina.							44	6	7	0	0	UNIV FLORENCE BOTANY INST	FLORENCE	VIA LAMARMORA 4, 50121 FLORENCE, ITALY	0008-7114			CARYOLOGIA	Caryologia	APR-JUN	1997	50	2					151	162		10.1080/00087114.1997.10797394			12	Plant Sciences; Genetics & Heredity	Science Citation Index Expanded (SCI-EXPANDED)	Plant Sciences; Genetics & Heredity	YQ228	WOS:000071363700006					2022-03-27	
J	Lemonnier-Darcemont, M; Darcemont, C				Lemonnier-Darcemont, Michele; Darcemont, Christian			Hybridization between Saga pedo (Pallas 1771) and Saga rammei Kaltenbach 1965 (Orthoptera : Tettigoniidae)	ANNALES DE LA SOCIETE ENTOMOLOGIQUE DE FRANCE			English	Article						orthoptera; saginae; saga pedo; saga rammei; hybridization		Since 2004, hybridizations in captivity were tested between Saga pedo (Pallas 1771), a parthenogenetic species, and various bisexual closely related species of the Balkans Saga hellenica Kaltenbach 1967, Saga rammei Kaltenbach 1965 and Saga campbelli Uvarov 1921. Mating with formation of spermatophores were noted in all cases. The first hatching, resulting from a female of S. pedo with a male of S. rammei, occurred in April 2006.	Groupement Etud Entomol Mediterranee, F-83440 Callian, France		Lemonnier-Darcemont, M (corresponding author), Groupement Etud Entomol Mediterranee, Hameau St Donat,240 Chemin Vignaou, F-83440 Callian, France.	etude.saga@geem.org						9	5	5	0	3	SOC ENTOMOLOGIQUE FRANCE	PARIS	45 RUE BUFFON, 75005 PARIS, FRANCE	0037-9271	2168-6351		ANN SOC ENTOMOL FR	Ann. Soc. Entomol. Fr.	APR-JUN	2007	43	2					249	252		10.1080/00379271.2007.10697518			4	Entomology	Science Citation Index Expanded (SCI-EXPANDED)	Entomology	176YQ	WOS:000247121200017		Bronze			2022-03-27	
J	Bugrov, AG; Warchalowska-Sliwa, E; Tatsuta, H; Akimoto, S				Bugrov, AG; Warchalowska-Sliwa, E; Tatsuta, H; Akimoto, S			Chromosome polymorphism and C-banding variation of the brachypterous grasshopper Podisma sapporensis Shir. (Orthoptera, Acrididae) in Hokkaido, northern Japan	FOLIA BIOLOGICA-KRAKOW			English	Article						chromosomes; inversion; polymorphism; Orthoptera; Podisma	GENUS-CALEDIA ORTHOPTERA; TRIMEROTROPIS-PALLIDIPENNIS ORTHOPTERA; POPULATION CYTOGENETICS; INVERSION POLYMORPHISMS; PERICENTRIC-INVERSION; PEDESTRIS; PATTERNS	The grasshopper Podisma sapporensis consists of two main chromosome races in Hokkaido. The western group of populations of P. sapporensis, belonging to the XO race, has a diploid number of chromosomes 2n=23 in the male and 2n=24 in the female (sex determination XO male/XX female). The eastern group of populations of this species, belonging to the XY race, differs from the western one as a result of Robertsonian translocation between the originally acrocentric X chromosome and M-5 autosome in homozygous state, having resulted in the forming of chromosome sex determination neo-XY male/neo-XX female (2n=22). These races are geographically isolated by the mountainous system consisting of the Mts Daisetsu and Hidaka range, occupying the central part of the island. The hybrid zones between the races have not so far been discovered. Various levels of polymorphism for the pericentric inversions and C-banding variation exist in different chromosomes throughout populations in both chromosome races. In some solitary populations (the population at the summit of Mt Yotei, populations in the vicinity of Naganuma, Oketo, and Tanno) pericentric inversions are fixed in some pairs of chromosomes, which enables marking of the discrete karyomorphes. In the Mt Daisengen population all chromosomes are two-armed as a result of fixing the pericentric inversions. These facts contradict karyotypical conservatism of the tribe Podismini. The level of diversity of P. sapporensis karyotypes could provide a new perspective on the evolutionary process of different karyotype in Orthoptera. The considerable occurrence of polymorphism in chromosomes suggests that karyotypic diversification is undergoing in P. sapporensis. The authors also proposed that P, sapporensis would be divided into four chromosome subraces in the XO chromosome race and two chromosome subraces in the XY race, on the basis of karyotypic features. These races may have been established by fundamental climatic changes during the glacial epoch.	Novosibirsk State Univ, Novosibirsk 630090, Russia		Bugrov, AG (corresponding author), Novosibirsk State Univ, Novosibirsk 630090, Russia.		TATSUTA, HARUKI/F-2997-2010	Bugrov, Alexander/0000-0002-7259-3103; Tatsuta, Haruki/0000-0001-8847-8874				41	16	26	0	2	POLISH ACAD OF SCIENCES	WARSAW	MUSEUM & INST ZOOLOGY WILCZA 64, 00-679 WARSAW, POLAND	0015-5497			FOLIA BIOL-KRAKOW	Folia Biol.-Krakow		2001	49	3-4					137	152					16	Biology	Science Citation Index Expanded (SCI-EXPANDED)	Life Sciences & Biomedicine - Other Topics	514PE	WOS:000173449600004	11987449				2022-03-27	
J	Bazelet, CS; Naskrecki, P				Bazelet, Corinna S.; Naskrecki, Piotr			Taxonomic revision of the southern African genus Pachyphymus Uvarov, 1922 (Orthoptera: Acridoidea: Euryphyminae)	ZOOTAXA			English	Article						Orthoptera; Euryphyminae; South Africa; Succulent Karoo; Nama Karoo; Fynbos		The southern African endemic genus, Pachyphymus Uvarov, 1922 (Orthoptera: Acrididae: Euryphyminae), is the only genus in the Euryphyminae subfamily with enlarged and hump-shaped pronotal crests. Here, we redescribe two species using newly evaluated diagnostic characters: P. carinatus Dirsh, 1956 and P. cristulifer (Serville, 1838); and describe two new species: P. samwaysi n. sp. and P. namaquensis n. sp. Of the 23 genera of Euryphyminae, Pachyphymus is arguably the most morphologically distinct. However, the species of Pachyphymus, like those of the other Euryphyminae, are difficult to distinguish morphologically because of a high degree of intraspecific variation. Height and shape of the pronotal crests and rugosity of the pronotum were previously considered diagnostic but are strongly variable within species. Degree of infumation of the hind wing is strongly conserved and is the single best diagnostic character in most cases. However, one population of P. cristulifer, which is isolated from the mainland population by a mountain range, shows very little conservation in this character. Additionally, one population of P. namaquensis and one population of P. cristulifer, both from outlying regions of their geographic range have intermediate wing infumation as well as other morphological characters. This may indicate recent or ongoing hybridization or divergence of the geographically overlapping species. This study emphasizes the need for molecular analysis to complement detailed morphological diagnosis of the species of Euryphyminae, a notoriously under-studied and taxonomically problematic group.	[Bazelet, Corinna S.] Univ Stellenbosch, Dept Conservat Ecol & Entomol, ZA-7602 Matieland, South Africa; [Bazelet, Corinna S.] Tel Aviv Univ, Fac Life Sci, Dept Zool, Steinhardt Museum, IL-69978 Tel Aviv, Israel; [Naskrecki, Piotr] Harvard Univ, Museum Comparat Zool, Cambridge, MA 02138 USA		Bazelet, CS (corresponding author), Univ Stellenbosch, Dept Conservat Ecol & Entomol, Private Bag X1, ZA-7602 Matieland, South Africa.	cbazelet@sun.ac.za; pnaskrecki@oeb.harvard.edu			Ernst Mayr Travel Grants in Animal Systematics, Orthopterists' Society Small Grants; Mauerberger Foundation Fund	Specimens and photographs of specimens were loaned by the following individuals and institutions: G. Beccaloni (BMNH photos), D. Otte (BMNH and SANC photos), R. Urban (SANC specimens), M. Cochrane and D. Larsen (SAMC specimens). H. D. Brown collected most of the specimens used in the analysis and housed at the SANC. SANParks and Northern Cape Province, South Africa, granted permission to sample within their holdings. C. Tucker assisted with photography and B. Bamberger assisted with image processing in CorelDraw. Funding was provided by Ernst Mayr Travel Grants in Animal Systematics, Orthopterists' Society Small Grants, and the Mauerberger Foundation Fund.		8	1	2	0	1	MAGNOLIA PRESS	AUCKLAND	PO BOX 41383, AUCKLAND, ST LUKES 1030, NEW ZEALAND	1175-5326	1175-5334		ZOOTAXA	Zootaxa	JAN 9	2014	 3753	5					401	420					20	Zoology	Science Citation Index Expanded (SCI-EXPANDED)	Zoology	287UG	WOS:000329567100001	24869505	Green Published			2022-03-27	
J	Benediktov, AA				Benediktov, Alexander A.			ADDITIONS AND CORRECTIONS TO THE CADASTRE OF ORTHOPTERA INSECTS OF SAMARSKAYA LUKA, ON THE BASIS OF ANALYSIS OF ACOUSTIC SIGNALS OF MALES	NATURE CONSERVATION RESEARCH			Russian	Article						acoustic signals; cryptic species; faunistics; Orthoptera; Samarskaya Luka; Zhiguli		For the territory of Samarskaya Luka, at the village Bakhilova Polyana (I.I. Sprygin Zhiguli State Natural Biosphere Reserve), 25 species of Orthoptera were found in mid-July 2016. These species were identified basically by the analysis of male acoustic signals. This is 44% of the total species composition of Samarskaya Luka Orthoptera, specified in the Cadastre of invertebrates of Samarskaya Luka. The specimens belonging to the grasshopper Platychleis albopunctata (= P. intermedia auct.) are clarified. The cricket Melanogryllus desertus and the locust Chorthippus dorsatus were found for the first time in the Samarskaya Luka. The species composition of the cryptic taxa of the << Chorthippus biguttulus group >> of the Middle Volga region is discussed. Based on the unstable amplitude-time structure of the signals of the supposed Ch. biguttulus males from Malaya Bahilova Mountain, it is assumed that they may have a hybrid origin.	[Benediktov, Alexander A.] Lomonosov Moscow State Univ, Moscow, Russia		Benediktov, AA (corresponding author), Lomonosov Moscow State Univ, Moscow, Russia.	entomology@yandex.ru	Benediktov, Alexander/F-1979-2019	Benediktov, Alexander/0000-0003-0773-232X				15	0	1	0	1	SARANSK FOND PODDERZKI & RAZVITIA ZAPOVEDNYH	SARANSK	SUMMER LANE, BUILDING 4,, SARANSK, REPUBLIC OF MORDOVIA 430007, RUSSIA	2500-008X			NAT CONSERV RES	Nat. Conserv. Res.		2017	2			2			1	8		10.24189/ncr.2017.031			8	Biodiversity Conservation	Emerging Sources Citation Index (ESCI)	Biodiversity & Conservation	GD6AN	WOS:000430590900001		gold			2022-03-27	
J	RITCHIE, MG				RITCHIE, MG			BEHAVIORAL COUPLING IN TETTIGONIID HYBRIDS (ORTHOPTERA)	BEHAVIOR GENETICS			English	Article						HYBRIDS; INSECT SONG; FEMALE PREFERENCE; TETTIGONIIDS; GENETICS	SELECTIVE PHONOTAXIS; AUDITORY-BEHAVIOR; COMMUNICATION; RECOGNITION; SPECIATION; TREEFROGS; CRICKETS; FEMALES; MALES	Studies of the mating behavior of male and female F1 hybrids between closely related taxa can provide information concerning the genetic control of characters that play a major role in speciation. Orthoptera have been used previously for such studies. Hybrid crickets show behaviors which are broadly intermediate to the parentals but hybrid grasshoppers may retain parental behavior patterns. This study examines the behavior of hybrid Ephippiger ephippiger bushcrickets, the third major orthopteran group. The differences in male song and female preference are probably both mainly additive and male song differences not sex linked. Thus, given a choice, hybrid females would prefer to mate with hybrid males, an example of "behavioral coupling." The evolutionary inferences which can be drawn from studies of F1 hybrids between closely related taxa are discussed.			RITCHIE, MG (corresponding author), UNIV LEICESTER,DEPT GENET,LEICESTER LE1 7RH,ENGLAND.		Ritchie, Michael G/F-7055-2013; Ritchie, Michael/B-7714-2008	Ritchie, Michael G/0000-0001-7913-8675; 				29	20	20	1	10	PLENUM PUBL CORP	NEW YORK	233 SPRING ST, NEW YORK, NY 10013	0001-8244			BEHAV GENET	Behav. Genet.	MAY	1992	22	3					369	379		10.1007/BF01066668			11	Behavioral Sciences; Genetics & Heredity; Psychology, Multidisciplinary	Social Science Citation Index (SSCI); Science Citation Index Expanded (SCI-EXPANDED)	Behavioral Sciences; Genetics & Heredity; Psychology	HX967	WOS:A1992HX96700007	1616466				2022-03-27	
J	Shapiro, LH				Shapiro, LH			Asymmetric assortative mating between two hybridizing Orchelimum katydids (Orthoptera : Tettigoniidae)	AMERICAN MIDLAND NATURALIST			English	Article							CHORTHIPPUS-PARALLELUS ORTHOPTERA; INTROGRESSIVE HYBRIDIZATION; GERRIDAE; HEMIPTERA; LIMNOPORUS; ZONE; GRASSHOPPER; ACRIDIDAE; CRICKET	The katydids Orchelimum nigripes and O. pulchellum (Orthoptera: Tettigoniidae) have a largely allopatric distribution in the eastern United States, but hybridization between these species has been well documented in two contact zones, I used animals from populations just outside a narrow, recently for med upstream-downstream hybrid zone along the Potomac River near Washington, D.C., in laboratory mate-choice trials to examine the possible importance of differential patterns of mate preference in determining the structure and dynamics of this hybrid zone. Offered a choice between a male of each species, O. nigripes females showed an extreme preference for conspecific mates, but O. pulchellum females showed no clear preference. This asymmetry in mate discrimination may contribute to the apparently ongoing replacement along the Potomac of O. pulchellum by O. nigripes in the wake of a moving hybrid zone.	SUNY Stony Brook, Dept Ecol & Evolut, Stony Brook, NY 11794 USA		Shapiro, LH (corresponding author), Univ Calif Berkeley, ESPM, 201 Wellman Hall 3112, Berkeley, CA 94720 USA.							25	13	13	1	14	AMER MIDLAND NATURALIST	NOTRE DAME	UNIV NOTRE DAME, BOX 369, ROOM 295 GLSC, NOTRE DAME, IN 46556 USA	0003-0031			AM MIDL NAT	Am. Midl. Nat.	APR	2001	145	2					423	427		10.1674/0003-0031(2001)145[0423:AAMBTH]2.0.CO;2			5	Biodiversity Conservation; Ecology	Science Citation Index Expanded (SCI-EXPANDED)	Biodiversity & Conservation; Environmental Sciences & Ecology	420VK	WOS:000168025800020					2022-03-27	
J	Hawlitschek, O; Moriniere, J; Lehmann, GUC; Lehmann, AW; Kropf, M; Dunz, A; Glaw, F; Detcharoen, M; Schmidt, S; Hausmann, A; Szucsich, NU; Caetano-Wyler, SA; Haszprunar, G				Hawlitschek, O.; Moriniere, J.; Lehmann, G. U. C.; Lehmann, A. W.; Kropf, M.; Dunz, A.; Glaw, F.; Detcharoen, M.; Schmidt, S.; Hausmann, A.; Szucsich, N. U.; Caetano-Wyler, S. A.; Haszprunar, G.			DNA barcoding of crickets, katydids and grasshoppers (Orthoptera) from Central Europe with focus on Austria, Germany and Switzerland	MOLECULAR ECOLOGY RESOURCES			English	Article						Barcode Index Number; BIN sharing; Chorthippus; hybridization; numt; pseudogene	MOLECULAR PHYLOGENY; HYBRID ZONE; MITOCHONDRIAL PSEUDOGENES; REPRODUCTIVE INTERFERENCE; BIODIVERSITY ASSESSMENT; CHORTHIPPUS-BRUNNEUS; COMPLEX COURTSHIP; ACRIDIDAE; WOLBACHIA; PARALLELUS	We present a DNA barcoding study on the insect order Orthoptera that was generated in collaboration between four barcoding projects in three countries, viz. Barcoding Fauna Bavarica (Germany), German Barcode of Life, Austrian Barcode of Life and Swiss Barcode of Life. Our data set includes 748 COI sequences from 127 of the 162 taxa (78.4%) recorded in the three countries involved. Ninety-three of these 122 species (76.2%, including all Ensifera) can be reliably identified using DNA barcodes. The remaining 26 caeliferan species (families Acrididae and Tetrigidae) form ten clusters that share barcodes among up to five species, in three cases even across different genera, and in six cases even sharing individual barcodes. We discuss incomplete lineage sorting and hybridization as most likely causes of this phenomenon, as the species concerned are phylogenetically young and hybridization has been previously observed. We also highlight the problem of nuclear mitochondrial pseudogenes (numts), a known problem in the barcoding of orthopteran species, and the possibility of Wolbachia infections. Finally, we discuss the possible taxonomic implications of our barcoding results and point out future research directions.	[Hawlitschek, O.; Moriniere, J.; Dunz, A.; Glaw, F.; Detcharoen, M.; Schmidt, S.; Hausmann, A.; Haszprunar, G.] Zool Staatssammlung Munchen SNSB ZSM, Munchhausenstr 21, D-81247 Munich, Germany; [Hawlitschek, O.] CSIC Univ Pompeu Fabra, Inst Biol Evolut, Passeig Maritim de la Barceloneta 37, Barcelona 08003, Spain; [Lehmann, G. U. C.] Humboldt Univ, Dept Biol, Behav Physiol, Invalidenstr 43, D-10115 Berlin, Germany; [Lehmann, A. W.] Orthoptera Working Grp Brandenburg & Berlin, Friedensallee 37, D-14532 Stahnsdorf, Germany; [Kropf, M.] Univ Nat Resources & Life Sci BOKU, Inst Integrat Nat Conservat Res, Gregor Mendel Str 33, A-1180 Vienna, Austria; [Szucsich, N. U.] Nat Hist Museum Vienna, Zool Dept 3, Burgring 7, A-1010 Vienna, Austria; [Caetano-Wyler, S. A.] Univ Geneva, Dept Genet & Evolut, Quai Ernest Ansermet 30, CH-1211 Geneva 4, Switzerland; [Haszprunar, G.] Ludwig Maximilians Univ Munchen, Dept Biol 2, Grosshaderner Str 2, D-82152 Planegg Martinsried, Germany; [Haszprunar, G.] Ludwig Maximilians Univ Munchen, GeoBioctr, Grosshaderner Str 2, D-82152 Planegg Martinsried, Germany		Hawlitschek, O (corresponding author), Zool Staatssammlung Munchen SNSB ZSM, Munchhausenstr 21, D-81247 Munich, Germany.; Hawlitschek, O (corresponding author), CSIC Univ Pompeu Fabra, Inst Biol Evolut, Passeig Maritim de la Barceloneta 37, Barcelona 08003, Spain.	oliver.hawlitschek@gmx.de	Lehmann, Arne W./J-4155-2019; Detcharoen, Matsapume/AAS-1963-2020; Schmidt, Stefan/AAD-7345-2021; Lehmann, Gerlind/D-5464-2013; Detcharoen, Matsapume/Q-1533-2019; Szucsich, Nikolaus/O-1776-2017	Lehmann, Arne W./0000-0002-9524-0765; Detcharoen, Matsapume/0000-0002-4610-4206; Schmidt, Stefan/0000-0001-5751-8706; Lehmann, Gerlind/0000-0003-0559-6002; Detcharoen, Matsapume/0000-0002-4610-4206; Szucsich, Nikolaus/0000-0002-8945-5153	Bayerisches Staatsministerium fur Bildung und Kultus, Wissenschaft und Kunst (StMBKWK); Bundesministerium fur Bildung und Forschung (BMBF)Federal Ministry of Education & Research (BMBF); Verein der Freunde des Naturhistorischen Museums Wien; ABOL; Austrian Barcode of Life; Swiss Federal Office for the Environment	We are indebted to C. Roesti, Bern, D. Roesti, Bern, P. Detzel, Stuttgart, H. Muhle, Munich and K. Rohde, Trier, for providing crucial samples, the team of orthoptera.ch (C. Roesti and F. Rutschmann, Nussbaumen b. Baden) for providing the bulk of photographs used and the oscillograms (http://www.orthoptera.ch), and to K. Schonitzer, Munich, for helping us with the access to the ZSM collection of Orthoptera. We thank the administration of the district of Wunsiedel, Bavaria, for granting us access to a habitat of the protected Troglophilus neglectus, and to C. Renker, Mainz, and T. Fartmann, Munster, of the Deutsche Gesellschaft fur Orthopterologie (DGfO) for issuing a call for samples to the society's members. We thank T. Koenig and L. van Ess, Munich, for laboratory assistance, B. Brenzinger, Munich, and B. Gottsberger, Vienna, for additional photographs, and the BOLD team (Guelph, Canada) for the processing of many samples and for providing all results on their database. G. Bieringer, Leobersdorf, W. Holzinger, Graz, G. Kunz, Graz and G. Woess, Vienna are acknowledged for contributing valuable comments to the discussion. We are particularly grateful to D. Gray, Northridge, for pointing out the Gryllus locorojo issue. Finally, we thank the editor Jeremy deWaard and three anonymous reviewers for their invaluable comments to the manuscript. We are furthermore grateful to the Bayerisches Staatsministerium fur Umwelt und Verbraucherschutz (StMUV) and the responsible offices of the governmental districts of Bavaria, Germany, for issuing permits for the collection of samples. The Bayerisches Staatsministerium fur Bildung und Kultus, Wissenschaft und Kunst (StMBKWK), and the Bundesministerium fur Bildung und Forschung (BMBF) are acknowledged for funding the barcoding campaigns of Barcoding Fauna Bavarica (BFB) and the German Barcode of Life (GBOL), respectively. We are grateful to the 'Verein der Freunde des Naturhistorischen Museums Wien' for funding a part of the sequencing costs. NUS is funded by ABOL, the Austrian Barcode of Life, and we thank the Swiss Federal Office for the Environment for the funds allocated to SwissBOL.		115	37	39	3	34	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	1755-098X	1755-0998		MOL ECOL RESOUR	Mol. Ecol. Resour.	SEP	2017	17	5					1037	1053		10.1111/1755-0998.12638			17	Biochemistry & Molecular Biology; Ecology; Evolutionary Biology	Science Citation Index Expanded (SCI-EXPANDED)	Biochemistry & Molecular Biology; Environmental Sciences & Ecology; Evolutionary Biology	FN3TF	WOS:000415921600018	27863033				2022-03-27	
J	GREGORY, PG; HOWARD, DJ				GREGORY, PG; HOWARD, DJ			LABORATORY HYBRIDIZATION STUDIES OF ALLONEMOBIUS-FASCIATUS AND A-SOCIUS (ORTHOPTERA, GRYLLIDAE)	ANNALS OF THE ENTOMOLOGICAL SOCIETY OF AMERICA			English	Article						ALLONEMOBIUS SPP; HYBRIDIZATION; DEVELOPMENT	REPRODUCTIVE ISOLATION; DROSOPHILA; SPECIATION; HYBRIDS	Allonemobius fasciatus (De Geer) and A. socius (Scudder) are small ground-dwelling crickets that meet and hybridize, to a limited extent, in a mosaic contact zone stretching from New Jersey to at least as far west as Illinois. To determine whether there is selection against hybridization, we compared heterospecific and hybrid crosses with conspecific crosses with regard to offspring production, viability, and development. Parental, F1, and F2 heterospecific and hybrid crosses produced considerable numbers of offspring, although some cross classes produced significantly fewer offspring than conspecific crosses. Differences in the number of offspring produced between heterospecific or hybrid crosses and conspecific crosses could be attributed to differences in the number of eggs laid rather than to differences in the percentage hatching. The time of hatching, the time required to reach adulthood, and hatchling-to-adult survival were similar in the various cross classes. Postzygotic barriers to gene exchange do not appear to be strong enough to account for the low number of hybrids found in mixed populations.			GREGORY, PG (corresponding author), NEW MEXICO STATE UNIV,DEPT BIOL,LAS CRUCES,NM 88003, USA.							27	32	33	0	8	ENTOMOL SOC AMER	LANHAM	9301 ANNAPOLIS RD, LANHAM, MD 20706	0013-8746			ANN ENTOMOL SOC AM	Ann. Entomol. Soc. Am.	NOV	1993	86	6					694	701		10.1093/aesa/86.6.694			8	Entomology	Science Citation Index Expanded (SCI-EXPANDED)	Entomology	MW099	WOS:A1993MW09900003					2022-03-27	
